aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
F100#4,0.01599884033203125,2,224,[],0,[120 120]
F100#3,0.1419975757598877,3,2688,[],0,[60 60 60]
F100#2,0.026002883911132812,2,210,[],0,[60 60]
ERJ135#1,0.004995822906494141,1,15,[],0,[60]
CRJ100#2,0.002002716064453125,1,13,[],0,[60]
BAE300#1,0.003003835678100586,1,12,[],0,[60]
BAE200#2,0.00500035285949707,1,13,[],0,[120]
A320#8,0.12300992012023926,3,2145,[],0,[60 60 60]
A320#5,0.05200457572937012,3,880,[],0,[60 60 60]
A320#17,0.12700915336608887,3,2145,[],0,[60 60 60]
A320#15,0.14301156997680664,3,2240,[],0,[60 60  0]
A320#1,0.05300307273864746,3,1248,[],0,[60 60  0]
A318#1,0.026000499725341797,2,105,[],0,[60  0]
A318#5,0.9915955066680908,4,19305,[],0,[60 60 60 60]
A319#1,1.4471087455749512,4,19712,[],0,[120 120 120  60]
A319#8,0.6535756587982178,4,13860,[],0,[ 60  60 120 120]
A320#7,1.3701038360595703,4,19305,[],0,[60 60 60 60]
A321#3,1.0640826225280762,4,16380,[],0,[ 60 120  60  60]
CRJ100#1,1.0020737648010254,4,11088,[],0,[60  0  0  0]
A320#10,1.4122273921966553,4,23100,[],0,[60 60 60 60]
A320#9,1.4666292667388916,4,22464,[],0,[60 60 60 60]
A318#4,6.406575918197632,5,215040,[],0,[60 60 60 60 60]
A320#4,7.853591442108154,5,221760,[],0,[60 60 60 60 60]
