aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
CRJ700#67,0.4510319232940674,5,7488,[],0,[60  0  0  0  0]
A340#73,0.003001689910888672,4,20,[],0,[-1  0  0 -1]
A340#16,0.01600193977355957,4,108,[],0,[900 900 540  -1]
A330#15,0.0010004043579101562,2,2,[],0,[60 -1]
A320#105,1.7481331825256348,6,4800,[],0,[180 660 120   0   0   0]
A319#5,0.062003374099731445,5,1372,[],0,[60 60  0  0  0]
A319#101,1.1550850868225098,6,2376,[],0,[-1 -1 -1 -1 -1 -1]
A318#34,0.3600273132324219,6,720,[],0,[120 780  -1  -1   0   0]
A318#247,0.003000974655151367,3,54,[],0,[60  0  0]
A318#125,0.2700207233428955,6,1728,[],0,[-1 -1  0  0  0  0]
A318#33,7.481648921966553,7,11520,[],0,[  0 180  -1  -1   0   0   0]
A319#163,5.991453409194946,8,17280,[],0,[60 -1 -1  0  0  0  0  0]
A319#38,2.5727062225341797,8,17280,[],0,[60 -1 -1  0  0  0  0  0]
A320#129,0.3285410404205322,7,2160,[],0,[120   0   0   0   0   0   0]
A320#138,4.048334121704102,8,18144,[],0,[-1 -1  0 -1 -1  0  0  0]
A320#153,4.3118603229522705,8,19440,[],0,[780  -1  -1   0   0   0   0   0]
A320#48,1.182088851928711,8,3840,[],0,[-1 -1 -1 -1 -1 -1 -1 -1]
A320#50,0.13503289222717285,8,1152,[],0,[ -1  -1   0   0   0   0   0 120]
A320#53,0.04900336265563965,8,1152,[],0,[-1 -1  0  0  0  0  0  0]
A320#56,0.3820312023162842,8,1296,[],0,[840  -1  -1   0   0   0   0   0]
A320#59,0.07100510597229004,7,192,[],0,[-1 -1 -1 -1 -1 -1 -1]
A321#106,1.8516478538513184,7,5184,[],0,[780  -1  -1  -1  -1   0   0]
CRJ100#225,0.37302708625793457,7,4320,[],0,[-1 -1  0  0  0  0  0]
ERJ135#159,0.4870274066925049,6,2880,[],0,[60  0  0  0  0  0]
ERJ135#18,1.2896111011505127,7,7200,[],0,[-1 -1  0  0  0  0  0]
ERJ135#29,4.249860763549805,7,14080,[],0,[780 840 360 360  -1  -1   0]
ERJ135#93,2.142674446105957,7,9000,[],0,[780  -1  -1   0   0   0   0]
A319#126,3.1742398738861084,8,27000,[],0,[-1 -1  0  0  0  0  0  0]
A319#127,2.77874493598938,9,25920,[],0,[-1 -1  0  0  0  0  0  0 60]
A319#45,2.0662379264831543,7,4320,[],0,[780  -1  -1  -1  -1   0   0]
A320#120,1.760185956954956,8,3456,[],0,[900  -1  -1  -1  -1  -1  -1  -1]
A320#168,1.5981194972991943,6,18480,[],0,[120 600  60   0   0   0]
A320#6,1.8236594200134277,8,6144,[],0,[ -1 240  -1  -1   0   0   0  -1]
A321#197,1.4001057147979736,8,6480,[],0,[60 -1 -1  0  0  0  0  0]
CRJ100#226,2.907222270965576,8,6480,[],0,[ -1  -1  -1 540 540  -1   0   0]
ERJ135#178,0.8939738273620605,8,5760,[],0,[-1 -1  0  0  0  0  0  0]
F100#87,2.3412039279937744,8,14400,[],0,[60 60  0  0  0  0  0  0]
A320#139,1.7811620235443115,8,23328,[],0,[-1 -1  0  0  0  0  0  0]
A320#152,0.7480542659759521,7,17280,[],0,[120   0   0   0   0   0   0]
A320#49,2.0011494159698486,8,25920,[],0,[-1 -1  0  0  0  0  0  0]
CRJ100#214,1.71966552734375,10,28800,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A321#114,5.28398585319519,9,54000,[],0,[ 0 -1 -1  0  0  0  0  0  0]
A320#91,0.06300687789916992,5,128,[],0,[-1 -1 -1 -1 -1]
A320#141,14.375166416168213,10,80640,[],0,[720  -1  -1   0   0   0   0   0   0   0]
A321#147,12.913064241409302,8,64512,[],0,[-1 -1  0  0  0  0  0  0]
A321#200,14.685948133468628,9,53760,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0]
A318#17,10.361104249954224,9,105840,[],0,[-1 -1  0  0  0  0  0  0  0]
A320#235,12.890309810638428,8,110592,[],0,[-1 -1  0  0  0  0  0  0]
A318#24,64.97978377342224,9,215040,[],0,[660  -1  -1  60 120  60  60  60  -1]
A319#149,40.632561683654785,9,129600,[],0,[120 720 780 360  -1  -1  60  60  60]
A319#187,104.93440079689026,10,204800,[],0,[780  -1  -1  -1  -1   0   0   0   0   0]
A319#188,54.333903074264526,10,165888,[],0,[720  -1  -1   0   0   0   0   0   0   0]
A319#20,8.22873568534851,10,15360,[],0,[ 60  -1  -1   0   0   0 180 180  -1  -1]
A320#128,9.137397050857544,9,60480,[],0,[-1 -1 60  0  0  0  0  0  0]
A320#222,39.15547800064087,11,103680,[],0,[  0 840  -1  -1  -1  -1   0   0   0   0   0]
A318#183,5.749198913574219,9,34560,[],0,[-1 -1  0  0  0  0  0  0  0]
A320#192,74.70049810409546,12,622080,[],0,[ 0  0 -1 -1  0  0  0  0  0  0 60 60]
