aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
F100#2,0.004001140594482422,1,14,[],0,[60]
CRJ100#4,0.06600618362426758,3,576,[],0,[ 60 120 120]
CRJ100#3,0.018001317977905273,2,154,[],0,[60 60]
BAE300#3,0.01900172233581543,2,143,[],0,[60 60]
BAE200#2,0.0019974708557128906,1,13,[],0,[180]
A320#9,0.12000846862792969,3,1680,[],0,[60 60 60]
A320#8,0.018002748489379883,2,143,[],0,[60 60]
A320#6,0.07600545883178711,3,960,[],0,[60 60 60]
A320#5,0.051012277603149414,3,880,[],0,[60 60 60]
A320#22,0.01599884033203125,2,108,[],0,[60 60]
A320#10,0.06900429725646973,3,1680,[],0,[60 60 60]
A319#8,0.09900546073913574,3,1287,[],0,[60 60 60]
A319#6,0.00400233268737793,2,66,[],0,[60  0]
A319#5,0.006999492645263672,2,64,[],0,[120 120]
A319#13,0.005000114440917969,2,91,[],0,[60 60]
A318#8,0.005999088287353516,2,156,[],0,[60 60]
A318#2,0.0009982585906982422,1,4,[],0,[60]
A319#2,0.7730615139007568,4,13440,[],0,[60 60 60 60]
A318#4,21.174837112426758,6,187200,[],0,[  0 240 240 240 240 180]
A320#7,18.14048147201538,6,289575,[],0,[  0 240 240 240 180 240]
