aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
ERJ135#93,0.0,2,1,[],0,[-1 -1]
BAE300#81,0.0,5,1,[],0,[-1 -1 -1 -1 -1]
A321#107,0.0029964447021484375,2,6,[],0,[240   0]
A320#205,0.3760240077972412,6,4200,[],0,[660   0   0   0   0   0]
A320#151,0.1570131778717041,5,4032,[],0,[540 120   0   0   0]
A319#42,2.147160530090332,7,8640,[],0,[180  -1  -1   0   0   0   0]
A319#248,0.48104071617126465,6,7560,[],0,[600  60  60   0   0   0]
A319#246,0.28001952171325684,5,1080,[],0,[180 180 120 240  -1]
A319#203,0.3000214099884033,6,5670,[],0,[ 60 120   0   0   0   0]
A319#101,0.0010013580322265625,1,1,[],0,[-1]
A318#34,1.3771004676818848,8,6480,[],0,[300  -1  -1   0   0   0   0   0]
A318#247,0.07000184059143066,5,1890,[],0,[60  0  0  0  0]
A320#112,2.182225465774536,7,11520,[],0,[-1 -1  0  0  0  0  0]
A320#204,0.8380630016326904,8,6720,[],0,[-1 -1  0  0  0  0  0  0]
A320#223,0.7090532779693604,7,15552,[],0,[120 600 180   0   0   0   0]
A320#48,2.7832093238830566,7,8640,[],0,[660  -1  -1   0   0   0   0]
A320#56,0.7900609970092773,11,6912,[],0,[-1 -1  0  0 -1 -1  0  0  0  0  0]
A320#91,2.9822769165039062,7,4536,[],0,[420  -1  -1 780 300 360 180]
A320#98,0.1880199909210205,9,504,[],0,[ -1  -1  -1  -1 660 120   0   0   0]
A321#131,0.6980535984039307,8,2970,[],0,[ -1  -1  -1 600 300 300 300   0]
A319#249,4.267323732376099,10,10240,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#250,0.9165840148925781,9,18144,[],0,[ -1  -1   0   0 720  60   0   0   0]
A320#50,1.168086290359497,11,13824,[],0,[ -1  -1   0 840  -1  -1   0   0   0   0   0]
A320#54,0.6210482120513916,10,10800,[],0,[-1 -1 -1  0  0  0  0  0  0  0]
A320#55,0.7650609016418457,10,5760,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#7,1.2221202850341797,12,6048,[],0,[-1 -1 -1 -1 -1 -1 -1  0  0  0  0  0]
A318#35,0.5995578765869141,12,6912,[],0,[-1 -1 -1  0  0  0  0  0  0  0  0  0]
A319#126,2.3751816749572754,11,7680,[],0,[-1 -1 -1 -1 -1 -1  0 -1 -1  0  0]
A319#127,4.06432580947876,9,13440,[],0,[-1 -1 -1 -1 -1 -1 -1 -1 -1]
A319#190,3.5862934589385986,10,20160,[],0,[ -1  -1  -1  -1 660 120 180 180 120  -1]
A319#211,3.0527729988098145,9,23040,[],0,[ -1 240 720 720 180 480 480  60  -1]
A319#39,2.8197250366210938,12,9216,[],0,[-1 -1 -1 -1 -1 -1 60 60 -1 -1  0  0]
A319#4,0.9400746822357178,12,3600,[],0,[ -1  -1  -1  -1  -1  -1  60  60   0 180  -1  -1]
A319#41,0.5780429840087891,11,2592,[],0,[ -1  -1  -1  -1  -1 780 780   0   0   0   0]
A319#5,6.324039697647095,12,27216,[],0,[ -1  -1  -1  -1  -1 840 840  -1  -1   0   0   0]
A319#95,2.085724353790283,10,38880,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A320#102,0.8320608139038086,9,9216,[],0,[-1 -1 -1  0  0  0  0  0  0]
A320#105,1.5101144313812256,10,25200,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A320#138,4.413850784301758,12,20736,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A320#139,2.339179515838623,11,5760,[],0,[ -1  -1  -1  -1  -1 600 120  -1  -1   0   0]
A320#161,2.2552006244659424,12,8640,[],0,[120  -1  -1  -1  -1  -1  -1  -1  -1   0   0   0]
A320#168,1.3171253204345703,10,25872,[],0,[-1 -1 -1 -1  0  0  0  0  0  0]
A320#47,0.06600666046142578,11,648,[],0,[ -1  -1  -1  -1 840 300  -1  -1   0   0   0]
A320#49,1.5336627960205078,12,12600,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0 60]
A320#51,4.586931467056274,10,18000,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#53,0.903104305267334,12,2304,[],0,[-1 -1 -1 -1 -1 -1  0  0 -1 -1  0  0]
A320#57,1.8141381740570068,11,10800,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0]
A320#60,0.5580596923828125,11,2880,[],0,[-1 -1 -1 -1  0  0  0  0  0  0  0]
A320#8,0.2970237731933594,10,864,[],0,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
A321#26,4.229889154434204,11,20160,[],0,[ -1  -1  -1  -1  -1 600 120   0 120 120  -1]
A321#63,0.4970407485961914,11,2268,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0 -1]
A321#80,13.564098119735718,11,26880,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0]
A318#32,1.4931142330169678,9,13104,[],0,[ -1 180  -1  -1   0   0   0   0   0]
A319#100,1.6221508979797363,12,3584,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0 60]
A319#37,2.8542399406433105,11,12600,[],0,[ -1  -1  -1 180 720 720 240 240  -1  -1   0]
A319#38,1.3821392059326172,13,2560,[],0,[-1 -1 -1 -1 -1 -1 -1  0 -1 -1  0  0  0]
A319#44,0.8520655632019043,10,2880,[],0,[ -1   0   0 600  -1  -1   0   0   0   0]
A319#45,0.4160292148590088,12,972,[],0,[ -1  -1  -1  -1  -1 660 180 180 240 240  -1  -1]
A319#99,0.5830442905426025,12,2304,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0 -1]
A320#12,4.592348098754883,12,28800,[],0,[ -1  -1  -1  -1   0 600 180 180 300  -1  -1   0]
A320#21,12.35874319076538,10,40320,[],0,[ -1  -1  -1  -1 600 180 180 180 300  -1]
A321#236,3.4412920475006104,10,8064,[],0,[-1 -1 -1 -1 -1 -1 60  0  0  0]
A319#40,17.942160606384277,13,43200,[],0,[ -1  -1  -1  -1 780 780 360 360  -1  -1  60 180  -1]
A320#1,3.247427225112915,10,72000,[],0,[ -1  -1  -1 660 180 180   0   0   0   0]
A318#17,77.88712763786316,14,256608,[],0,[ -1  -1  -1 300 840  -1  -1  -1  -1   0   0   0   0   0]
A321#197,98.68837308883667,12,345600,[],0,[360  -1  -1  -1  -1   0   0   0   0   0   0   0]
A319#231,39.990169286727905,12,92160,[],0,[ -1  -1 240  -1  -1 660  60 240 360 120  -1  -1]
A320#152,55.080666303634644,12,331776,[],0,[ -1  -1  -1  -1  -1 180   0   0   0   0   0   0]
A320#191,51.75773596763611,13,279936,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0 60 60]
A318#23,30.960378408432007,12,233280,[],0,[ -1  -1  -1  -1  -1 120   0   0   0   0   0   0]
A319#11,34.01756548881531,12,221184,[],0,[ -1  -1  -1 420 720  -1  -1   0   0   0   0   0]
A319#149,31.04435682296753,14,103680,[],0,[ -1  -1  -1  -1 900 900 900  -1  -1 240 240  -1  -1   0]
A320#128,41.66554093360901,14,152064,[],0,[-1 -1 -1 -1 -1 -1 -1  0  0 -1 -1  0  0  0]
A320#194,38.62499237060547,13,259200,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0  0]
A321#198,29.922048330307007,14,138240,[],0,[240  -1  -1  -1  -1  -1  -1   0   0   0   0   0   0  -1]
A319#233,22.708288192749023,12,129600,[],0,[ -1  -1  -1  -1 600 120 120 120 120  -1  -1   0]
A319#234,23.733442544937134,12,320760,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0  0]
A320#192,8.912201881408691,14,58320,[],0,[-1 -1 -1 -1 -1 -1  0  0 -1 -1  0  0  0  0]
A320#46,92.00646090507507,11,345600,[],0,[ 0  0  0  0  0  0 -1 -1 -1 -1 -1]
A320#193,128.32227659225464,14,430080,[],0,[ -1  -1  -1  -1 300 780 840 300 660  -1   0   0  -1  -1]
A320#196,14.192397594451904,13,120960,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0 60 -1]
A318#24,7.371659517288208,13,77760,[],0,[-1 -1 -1 -1 -1 -1 60 60 60  0 60 60 60]
A319#166,14.522216081619263,13,120960,[],0,[ -1  -1  -1  -1  -1 660  60 120 120  60 120  -1  -1]
A319#187,3.9478628635406494,15,9600,[],0,[-1 -1 -1 -1 -1 -1 -1 60 -1 -1 -1 -1  0  0  0]
A319#188,3.615612745285034,15,13824,[],0,[ -1  -1  -1  -1  -1  -1 660 120  -1  -1   0   0   0 120  -1]
A320#141,5.332873106002808,16,17280,[],0,[ -1  -1  -1  -1  -1  -1 780  -1  -1  60  60  60 300  -1  -1   0]
A318#183,25.933780431747437,15,86016,[],0,[-1 -1 -1 -1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A319#145,12.992117166519165,14,57600,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
