aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
F100#2,0.017996549606323242,1,14,[],0,[60]
CRJ100#4,0.06500744819641113,3,576,[],0,[ 60 120 120]
CRJ100#3,0.02700328826904297,2,154,[],0,[60 60]
BAE300#3,0.029998064041137695,2,143,[],0,[60 60]
BAE200#2,0.037004947662353516,1,13,[],0,[180]
A320#9,0.08400321006774902,3,1680,[],0,[60 60 60]
A320#8,0.0420072078704834,2,143,[],0,[60 60]
A320#6,0.06000351905822754,3,960,[],0,[60 60 60]
A320#5,0.039003610610961914,3,880,[],0,[60 60 60]
A320#22,0.029002666473388672,2,108,[],0,[60 60]
A320#10,0.07200932502746582,3,1680,[],0,[60 60 60]
A319#8,0.07100939750671387,3,1287,[],0,[60 60 60]
A319#6,0.0350034236907959,2,66,[],0,[60  0]
A319#5,0.031001567840576172,2,64,[],0,[120 120]
A319#13,0.03000640869140625,2,91,[],0,[60 60]
A318#8,0.03200078010559082,2,156,[],0,[60 60]
A318#2,0.03300166130065918,1,4,[],0,[60]
A319#2,0.8150715827941895,4,13440,[],0,[60 60 60 60]
A318#4,17.327470302581787,6,187200,[],0,[  0 240 240 240 240 180]
A320#7,18.614579677581787,6,289575,[],0,[  0 240 240 240 180 240]
