aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
F100#2,0.0020241737365722656,1,13,[],0,[0]
CRJ100#4,0.016999244689941406,3,576,[],0,[0 0 0]
CRJ100#3,0.0049991607666015625,2,154,[],0,[0 0]
BAE300#3,0.005997896194458008,2,143,[],0,[0 0]
BAE200#2,0.0010004043579101562,1,11,[],0,[0]
A320#9,0.03400540351867676,3,1560,[],0,[ 0 60 60]
A320#8,0.00500178337097168,2,132,[],0,[0 0]
A320#6,0.02100062370300293,3,880,[],0,[ 0 60 60]
A320#22,0.007001638412475586,2,108,[],0,[ 0 60]
A320#10,0.04084944725036621,3,1560,[],0,[ 0 60 60]
A319#8,0.04000234603881836,3,1188,[],0,[ 0 60 60]
A319#6,0.004000425338745117,2,66,[],0,[0 0]
A319#5,0.003999471664428711,2,48,[],0,[  0 120]
A319#2,0.331622838973999,4,12480,[],0,[ 0 60 60 60]
A319#13,0.0030007362365722656,2,91,[],0,[0 0]
A318#8,0.006000518798828125,2,156,[],0,[60 60]
A318#2,0.0009982585906982422,1,4,[],0,[60]
A318#4,10.47804880142212,6,187200,[],0,[180   0 480 480   0   0]
A320#7,14.045674324035645,6,249480,[],0,[180   0 480 480   0   0]
