aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
A318#33,6.831506013870239,7,37632,[],0,[180   0  -1  -1   0   0   0]
CRJ700#67,0.17701125144958496,5,7488,[],0,[0 0 0 0 0]
CRJ100#214,0.0010008811950683594,2,1,[],0,[-1 -1]
B737800#162,0.0,4,1,[],0,[-1 -1 -1 -1]
A340#16,0.013003349304199219,4,108,[],0,[  0 900 540  -1]
A330#15,0.0009987354278564453,1,1,[],0,[-1]
A320#50,1.3110957145690918,7,13608,[],0,[-1 -1  0  0  0  0  0]
A320#129,1.222093105316162,7,21000,[],0,[60  0  0  0  0  0  0]
A320#105,0.23801732063293457,6,3360,[],0,[0 0 0 0 0 0]
A319#38,2.7137176990509033,8,25200,[],0,[ 0 -1 -1  0  0  0  0  0]
A319#163,1.558138370513916,8,14400,[],0,[ 0 -1 -1  0  0  0  0  0]
A319#127,0.5760443210601807,8,17280,[],0,[0 0 0 0 0 0 0 0]
A319#101,0.26001858711242676,6,1944,[],0,[0 0 0 0 0 0]
A318#34,0.04900169372558594,6,256,[],0,[ 60 780  -1  -1   0   0]
A318#247,0.002001523971557617,4,6,[],0,[ 0 -1 60 -1]
A318#202,0.0010008811950683594,1,1,[],0,[-1]
A318#125,0.16301274299621582,6,1080,[],0,[-1 -1  0  0  0  0]
A319#126,2.736710786819458,8,40320,[],0,[-1 -1  0  0  0  0  0  0]
A320#120,1.3361010551452637,8,4608,[],0,[  0 720  -1  -1  -1  -1  -1  -1]
A320#138,1.3161251544952393,8,15552,[],0,[-1 -1  0  0  0  0  0  0]
A320#153,1.2250962257385254,8,20160,[],0,[0 0 0 0 0 0 0 0]
A320#168,1.0840809345245361,6,32928,[],0,[  0 600  60   0   0   0]
A320#48,0.6570687294006348,8,3072,[],0,[780 840  -1  -1   0   0   0   0]
A320#53,0.02799677848815918,8,256,[],0,[-1 -1 -1 -1  0  0  0  0]
A320#56,0.30602169036865234,8,1920,[],0,[ 0 -1 -1  0  0  0  0  0]
A320#59,0.07100462913513184,7,432,[],0,[780  -1  -1   0   0   0   0]
A320#6,0.2200157642364502,7,1008,[],0,[780 240  -1  -1   0   0  -1]
A321#106,0.5290422439575195,7,2160,[],0,[120  -1  -1  -1  -1   0   0]
A321#198,0.29405856132507324,8,1152,[],0,[ -1  -1  -1  -1   0 180   0  -1]
CRJ100#225,0.5420405864715576,7,5632,[],0,[-1 -1  0  0  0  0  0]
CRJ100#226,7.426632404327393,8,32256,[],0,[ -1  -1  -1 540 540  -1   0   0]
ERJ135#159,0.23201870918273926,6,2500,[],0,[0 0 0 0 0 0]
ERJ135#18,0.7490963935852051,7,5400,[],0,[-1 -1  0  0  0  0  0]
ERJ135#29,2.413238286972046,7,19008,[],0,[720 780 300 300  60   0   0]
ERJ135#93,0.7336032390594482,7,3600,[],0,[720  -1  -1   0   0   0   0]
F100#87,4.267877101898193,9,26880,[],0,[  0 720  -1  -1  60   0   0   0   0]
A320#139,1.2750928401947021,8,25200,[],0,[0 0 0 0 0 0 0 0]
A320#49,4.760427236557007,8,57600,[],0,[-1 -1  0  0  0  0  0  0]
A321#197,2.474184513092041,8,13500,[],0,[ 0 -1 -1  0  0  0  0 -1]
ERJ135#178,0.26001906394958496,8,6912,[],0,[0 0 0 0 0 0 0 0]
A320#152,1.8231351375579834,7,58800,[],0,[60  0  0  0  0  0  0]
A318#17,6.157455205917358,9,93312,[],0,[-1 -1  0  0  0  0  0  0  0]
BAE300#117,14.22563624382019,10,115200,[],0,[60 60 -1 -1  0  0  0  0  0  0]
A320#235,6.378507852554321,8,181440,[],0,[ 0 60  0  0  0  0  0  0]
A321#147,16.327359437942505,8,145152,[],0,[-1 -1  0  0  0  0  0  0]
A320#128,15.531875848770142,9,207360,[],0,[ 0 -1 -1  0  0  0  0  0  0]
A321#114,25.836226224899292,8,137200,[],0,[  0 600 120 180  -1  -1   0   0]
A319#149,8.263211250305176,9,90720,[],0,[-1 -1  0  0  0  0  0  0  0]
A321#200,41.48495101928711,9,151200,[],0,[720 780 300 360 360 360  -1  -1  -1]
A318#24,37.135570764541626,9,145152,[],0,[840  -1  -1  -1  -1   0   0   0   0]
A319#188,19.195126056671143,10,192000,[],0,[180  -1  -1   0   0   0   0   0   0   0]
A319#20,12.657011032104492,10,64800,[],0,[  0  -1  -1   0   0   0   0 120 120  -1]
A318#183,9.154259443283081,9,105600,[],0,[-1 -1  0  0  0  0  0  0  0]
A319#187,61.43652892112732,10,216000,[],0,[720  -1  -1  -1  -1   0   0   0   0   0]
A320#141,28.507126569747925,10,155520,[],0,[ 0 -1 -1  0  0  0  0  0  0  0]
A320#222,82.87161874771118,11,181440,[],0,[780   0  -1  -1  -1  -1   0   0   0   0   0]
