aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
ERJ135#2,0.007001161575317383,2,36,[],0,[ 60 120]
A321#2,0.006997108459472656,2,110,[],0,[ 0 60]
A321#1,0.031005859375,3,968,[],0,[  0 120 120]
A320#8,0.005000591278076172,1,10,[],0,[0]
A320#7,0.006002664566040039,2,81,[],0,[ 0 60]
A320#5,0.027006149291992188,3,880,[],0,[60 60 60]
A320#4,0.0039997100830078125,2,80,[],0,[ 0 60]
A320#3,0.002000570297241211,1,8,[],0,[0]
A320#2,0.0010013580322265625,1,6,[],0,[0]
A319#8,0.003994941711425781,2,90,[],0,[ 0 60]
A319#5,0.0019943714141845703,1,7,[],0,[0]
A319#4,0.0030019283294677734,2,42,[],0,[ 0 60]
A318#8,0.0009996891021728516,1,12,[],0,[0]
A318#6,0.0009999275207519531,1,4,[],0,[60]
A318#4,0.0240023136138916,3,800,[],0,[  0 120 120]
