aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
A318#33,11.210076093673706,7,37632,[],0,[180   0  -1  -1   0   0   0]
CRJ700#67,0.21301746368408203,5,7488,[],0,[0 0 0 0 0]
A340#16,0.01399993896484375,4,108,[],0,[  0 900 540  -1]
A330#15,0.0009992122650146484,1,1,[],0,[-1]
A320#50,1.403123378753662,7,13608,[],0,[-1 -1  0  0  0  0  0]
A320#129,1.430128812789917,7,21000,[],0,[60  0  0  0  0  0  0]
A320#105,0.26702380180358887,6,3360,[],0,[0 0 0 0 0 0]
A319#38,2.3822264671325684,8,20160,[],0,[ 0 -1 -1  0  0  0  0  0]
A319#163,1.6687116622924805,8,14400,[],0,[ 0 -1 -1  0  0  0  0  0]
A319#127,0.5870516300201416,8,17280,[],0,[0 0 0 0 0 0 0 0]
A319#101,0.4130370616912842,6,1944,[],0,[0 0 0 0 0 0]
A318#34,0.06700778007507324,6,256,[],0,[ 60 780  -1  -1   0   0]
A318#125,0.19801664352416992,6,1080,[],0,[-1 -1  0  0  0  0]
A319#126,3.2622945308685303,8,40320,[],0,[-1 -1  0  0  0  0  0  0]
A320#120,2.673332691192627,8,6912,[],0,[  0 720  -1  -1  -1  -1  -1  -1]
A320#138,1.6147937774658203,8,15552,[],0,[-1 -1  0  0  0  0  0  0]
A320#139,1.6741454601287842,8,38880,[],0,[0 0 0 0 0 0 0 0]
A320#153,1.1616990566253662,8,12960,[],0,[0 0 0 0 0 0 0 0]
A320#168,0.8080685138702393,6,28224,[],0,[  0 600  60   0   0   0]
A320#48,1.0590922832489014,8,3072,[],0,[780 840  -1  -1   0   0   0   0]
A320#53,0.027003765106201172,8,192,[],0,[-1 -1 -1 -1  0  0  0  0]
A320#56,0.10601210594177246,8,576,[],0,[ 0 -1 -1  0  0  0  0  0]
A320#59,0.0660102367401123,7,288,[],0,[780  -1  -1   0   0   0   0]
A320#6,0.19806170463562012,7,672,[],0,[900 360  -1  -1  -1  -1  -1]
A321#106,0.44203853607177734,7,2160,[],0,[120  -1  -1  -1  -1   0   0]
CRJ100#225,0.6901898384094238,7,5632,[],0,[-1 -1  0  0  0  0  0]
CRJ100#226,6.581080675125122,8,32256,[],0,[ -1  -1  -1 540 540  -1   0   0]
ERJ135#159,0.2895677089691162,6,2500,[],0,[0 0 0 0 0 0]
ERJ135#18,0.6270542144775391,7,5400,[],0,[-1 -1  0  0  0  0  0]
ERJ135#29,3.7303621768951416,7,23760,[],0,[720 780 300 300  60   0   0]
ERJ135#93,0.9501204490661621,7,4800,[],0,[720  -1  -1   0   0   0   0]
F100#87,0.9690845012664795,8,20160,[],0,[ 0 60  0 60  0  0  0  0]
A320#152,1.6132385730743408,7,58800,[],0,[60  0  0  0  0  0  0]
A320#49,2.366206169128418,8,28800,[],0,[-1 -1  0  0  0  0  0  0]
A321#197,1.9397070407867432,8,18000,[],0,[ 0 -1 -1  0  0  0  0  0]
ERJ135#178,0.19301867485046387,8,5760,[],0,[0 0 0 0 0 0 0 0]
A318#17,6.073573112487793,9,93312,[],0,[-1 -1  0  0  0  0  0  0  0]
A321#114,18.59774088859558,8,120960,[],0,[  0 600 120 180  -1  -1   0   0]
CRJ100#214,7.974792003631592,10,120960,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A321#147,14.992202758789062,8,120960,[],0,[-1 -1  0  0  0  0  0  0]
A320#235,5.101592540740967,8,151200,[],0,[ 0 60  0  0  0  0  0  0]
A320#128,37.927892208099365,9,207360,[],0,[ 0 -1 -1  0  0  0  0  0  0]
A319#149,12.98184871673584,9,108864,[],0,[-1 -1  0  0  0  0  0  0  0]
A321#200,105.24980068206787,9,150000,[],0,[720  -1  -1  -1  -1   0   0   0   0]
A318#183,19.00557231903076,9,207360,[],0,[-1 -1  0  0  0  0  0  0  0]
A318#24,37.80886459350586,9,100800,[],0,[840  -1  -1  -1  -1   0   0   0   0]
A319#188,24.726969718933105,10,165888,[],0,[720  -1  -1   0   0   0   0   0   0   0]
A319#20,19.00802230834961,10,61440,[],0,[ 0 -1 -1  0  0  0  0  0  0  0]
A320#141,41.06106400489807,10,155520,[],0,[ 0 -1 -1  0  0  0  0  0  0  0]
A319#187,69.9132468700409,10,207360,[],0,[720  -1  -1  -1  -1   0   0   0   0   0]
A320#222,48.03795528411865,11,145152,[],0,[-1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1]
