aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
F100#2,0.0020003318786621094,1,13,[],0,[0]
CRJ100#4,0.023005247116088867,3,576,[],0,[0 0 0]
CRJ100#3,0.004999399185180664,2,154,[],0,[0 0]
BAE300#3,0.005999088287353516,2,143,[],0,[0 0]
BAE200#2,0.0010001659393310547,1,11,[],0,[0]
A320#9,0.03899955749511719,3,1560,[],0,[ 0 60 60]
A320#8,0.008002519607543945,2,132,[],0,[0 0]
A320#6,0.022001266479492188,3,880,[],0,[ 0 60 60]
A320#22,0.00400090217590332,2,108,[],0,[ 0 60]
A320#10,0.04500269889831543,3,1560,[],0,[ 0 60 60]
A319#8,0.038001060485839844,3,1188,[],0,[ 0 60 60]
A319#6,0.0030007362365722656,2,66,[],0,[0 0]
A319#5,0.0050008296966552734,2,48,[],0,[  0 120]
A319#2,0.33402562141418457,4,12480,[],0,[ 0 60 60 60]
A319#13,0.0029981136322021484,2,91,[],0,[0 0]
A318#8,0.005001068115234375,2,156,[],0,[60 60]
A318#2,0.002000093460083008,1,4,[],0,[60]
A318#4,11.241904020309448,6,187200,[],0,[180   0 480 480   0   0]
A320#7,14.731199502944946,6,249480,[],0,[180   0 480 480   0   0]
