aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
A318#33,8.323525428771973,7,37632,[],0,[180   0  -1  -1   0   0   0]
CRJ700#67,0.17901372909545898,5,7488,[],0,[0 0 0 0 0]
CRJ100#214,0.0009989738464355469,2,1,[],0,[-1 -1]
A340#16,0.014003515243530273,4,108,[],0,[  0 900 540  -1]
A330#15,0.0,1,1,[],0,[-1]
A320#50,1.623701572418213,7,13608,[],0,[-1 -1  0  0  0  0  0]
A320#129,1.508646011352539,7,21000,[],0,[60  0  0  0  0  0  0]
A320#105,0.26802611351013184,6,3360,[],0,[0 0 0 0 0 0]
A319#38,2.5662779808044434,8,20160,[],0,[ 0 -1 -1  0  0  0  0  0]
A319#163,1.8587048053741455,8,14400,[],0,[ 0 -1 -1  0  0  0  0  0]
A319#127,0.5230457782745361,8,17280,[],0,[0 0 0 0 0 0 0 0]
A319#101,0.4470372200012207,6,1944,[],0,[0 0 0 0 0 0]
A318#34,0.07600522041320801,6,256,[],0,[ 60 780  -1  -1   0   0]
A318#247,0.001003265380859375,3,1,[],0,[-1 -1 -1]
A318#125,0.12401485443115234,6,1080,[],0,[-1 -1  0  0  0  0]
A319#126,2.8467628955841064,8,40320,[],0,[-1 -1  0  0  0  0  0  0]
A320#120,1.7081923484802246,8,6912,[],0,[  0 720  -1  -1  -1  -1  -1  -1]
A320#138,1.2380800247192383,8,15552,[],0,[-1 -1  0  0  0  0  0  0]
A320#139,1.8552918434143066,8,38880,[],0,[0 0 0 0 0 0 0 0]
A320#153,2.6952362060546875,8,20160,[],0,[0 0 0 0 0 0 0 0]
A320#168,2.057176113128662,6,32928,[],0,[  0 600  60   0   0   0]
A320#48,0.699054479598999,8,3072,[],0,[780 840  -1  -1   0   0   0   0]
A320#53,0.049002885818481445,8,192,[],0,[-1 -1 -1 -1  0  0  0  0]
A320#56,0.1370096206665039,8,576,[],0,[ 0 -1 -1  0  0  0  0  0]
A320#59,0.06700611114501953,7,288,[],0,[780  -1  -1   0   0   0   0]
A320#6,0.22302007675170898,7,672,[],0,[900 360  -1  -1  -1  -1  -1]
A321#106,0.5550477504730225,7,2160,[],0,[120  -1  -1  -1  -1   0   0]
A321#198,0.20401906967163086,8,1152,[],0,[ -1  -1  -1  -1   0 180   0  -1]
CRJ100#225,0.6240537166595459,7,5632,[],0,[-1 -1  0  0  0  0  0]
CRJ100#226,7.619916200637817,8,32256,[],0,[ -1  -1  -1 540 540  -1   0   0]
ERJ135#159,0.16100716590881348,6,2500,[],0,[0 0 0 0 0 0]
ERJ135#18,0.4960458278656006,7,5400,[],0,[-1 -1  0  0  0  0  0]
ERJ135#29,3.4363908767700195,7,23760,[],0,[720 780 300 300  60   0   0]
ERJ135#93,0.9061195850372314,7,4800,[],0,[720  -1  -1   0   0   0   0]
F100#87,3.7138803005218506,9,26880,[],0,[  0 720  -1  -1  60   0   0   0   0]
A320#49,2.4212427139282227,8,28800,[],0,[-1 -1  0  0  0  0  0  0]
A321#197,1.8592064380645752,8,13500,[],0,[ 0 -1 -1  0  0  0  0 -1]
ERJ135#178,0.3370189666748047,8,6912,[],0,[0 0 0 0 0 0 0 0]
A320#152,1.4982292652130127,7,58800,[],0,[60  0  0  0  0  0  0]
A318#17,6.023069620132446,9,93312,[],0,[-1 -1  0  0  0  0  0  0  0]
BAE300#117,25.199181079864502,10,138240,[],0,[60 60 -1 -1  0  0  0  0  0  0]
A320#235,8.521975755691528,8,181440,[],0,[ 0 60  0  0  0  0  0  0]
A321#147,21.81827974319458,8,145152,[],0,[-1 -1  0  0  0  0  0  0]
A320#128,28.52435064315796,9,207360,[],0,[ 0 -1 -1  0  0  0  0  0  0]
A321#114,41.193557262420654,8,137200,[],0,[  0 600 120 180  -1  -1   0   0]
A319#149,28.76771855354309,9,108864,[],0,[-1 -1  0  0  0  0  0  0  0]
A318#24,172.929260969162,9,282240,[],0,[840  -1  -1  -1  -1   0   0   0   0]
A318#183,19.036012411117554,9,241920,[],0,[-1 -1  0  0  0  0  0  0  0]
A321#200,97.16939949989319,9,315000,[],0,[720 780 300 360 360 360  -1  -1  -1]
A319#188,41.691768169403076,10,324000,[],0,[180  -1  -1   0   0   0   0   0   0   0]
A319#20,7.322853326797485,10,64800,[],0,[  0  -1  -1   0   0   0   0 120 120  -1]
A320#141,27.313254833221436,10,233280,[],0,[ 0 -1 -1  0  0  0  0  0  0  0]
A320#222,65.89428281784058,11,207360,[],0,[780   0  -1  -1  -1  -1   0   0   0   0   0]
