aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
F100#4,0.0069997310638427734,2,196,[],0,[  0 120]
F100#3,0.06700468063354492,3,2688,[],0,[ 0 60 60]
F100#2,0.007002353668212891,2,196,[],0,[ 0 60]
ERJ135#1,0.002001047134399414,1,15,[],0,[0]
CRJ100#2,0.0009984970092773438,1,13,[],0,[0]
CRJ100#1,0.4300389289855957,4,14400,[],0,[0 0 0 0]
BAE300#1,0.0019991397857666016,1,12,[],0,[0]
BAE200#2,0.0009999275207519531,1,11,[],0,[0]
A321#3,0.5530433654785156,4,22176,[],0,[ 0 60  0  0]
A320#9,0.9170699119567871,4,25200,[],0,[ 0 60 60 60]
A320#8,0.05900454521179199,3,2002,[],0,[ 0 60 60]
A320#7,0.8890643119812012,4,18018,[],0,[ 0 60 60 60]
A320#5,0.04000401496887207,3,880,[],0,[60 60 60]
A320#17,0.04700160026550293,3,2002,[],0,[ 0 60 60]
A320#15,0.06200003623962402,3,2240,[],0,[ 0 60  0]
A320#10,0.5610439777374268,4,21560,[],0,[ 0 60 60 60]
A319#8,0.49803662300109863,4,19305,[],0,[0 0 0 0]
A319#13,0.006999015808105469,2,84,[],0,[60 60]
A319#1,0.4750344753265381,4,18480,[],0,[ 0 60 60  0]
A318#5,0.4730377197265625,4,16731,[],0,[ 0 60 60 60]
A318#2,0.002000093460083008,2,45,[],0,[60  0]
A318#1,0.0029993057250976562,2,105,[],0,[0 0]
A318#4,4.5283613204956055,5,199680,[],0,[  0 120 120 120 120]
A320#4,4.993436813354492,5,221760,[],0,[ 0 60 60 60 60]
