aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
A318#33,8.64715313911438,7,37632,[],0,[180   0  -1  -1   0   0   0]
CRJ700#67,0.17701101303100586,5,7488,[],0,[0 0 0 0 0]
CRJ100#214,0.0010044574737548828,2,1,[],0,[-1 -1]
A340#16,0.013002872467041016,4,108,[],0,[  0 900 540  -1]
A330#15,0.001001119613647461,1,1,[],0,[-1]
A320#50,1.301095962524414,7,13608,[],0,[-1 -1  0  0  0  0  0]
A320#129,1.1960880756378174,7,21000,[],0,[60  0  0  0  0  0  0]
A320#105,0.23801779747009277,6,3360,[],0,[0 0 0 0 0 0]
A319#38,2.379704713821411,8,20160,[],0,[ 0 -1 -1  0  0  0  0  0]
A319#163,1.6531498432159424,8,14400,[],0,[ 0 -1 -1  0  0  0  0  0]
A319#127,0.6110472679138184,8,17280,[],0,[0 0 0 0 0 0 0 0]
A319#101,0.2660214900970459,6,1944,[],0,[0 0 0 0 0 0]
A318#34,0.04100465774536133,6,256,[],0,[ 60 780  -1  -1   0   0]
A318#125,0.1700139045715332,6,1080,[],0,[-1 -1  0  0  0  0]
A319#126,2.8507204055786133,8,40320,[],0,[-1 -1  0  0  0  0  0  0]
A320#120,1.5511212348937988,8,6912,[],0,[  0 720  -1  -1  -1  -1  -1  -1]
A320#138,1.004073143005371,8,15552,[],0,[-1 -1  0  0  0  0  0  0]
A320#139,1.4801347255706787,8,38880,[],0,[0 0 0 0 0 0 0 0]
A320#153,0.7330520153045654,8,12960,[],0,[0 0 0 0 0 0 0 0]
A320#168,1.0080747604370117,6,28224,[],0,[  0 600  60   0   0   0]
A320#48,0.6730706691741943,8,3072,[],0,[780 840  -1  -1   0   0   0   0]
A320#53,0.02100348472595215,8,192,[],0,[-1 -1 -1 -1  0  0  0  0]
A320#56,0.1110074520111084,8,576,[],0,[ 0 -1 -1  0  0  0  0  0]
A320#59,0.06800413131713867,7,288,[],0,[780  -1  -1   0   0   0   0]
A320#6,0.24902009963989258,7,672,[],0,[900 360  -1  -1  -1  -1  -1]
A321#106,0.40402865409851074,7,2160,[],0,[120  -1  -1  -1  -1   0   0]
CRJ100#225,0.6210403442382812,7,5632,[],0,[-1 -1  0  0  0  0  0]
CRJ100#226,6.624569654464722,8,32256,[],0,[ -1  -1  -1 540 540  -1   0   0]
ERJ135#159,0.3390200138092041,6,2500,[],0,[0 0 0 0 0 0]
ERJ135#18,0.5105745792388916,7,5400,[],0,[-1 -1  0  0  0  0  0]
ERJ135#29,2.965319871902466,7,23760,[],0,[720 780 300 300  60   0   0]
ERJ135#93,0.8050596714019775,7,4800,[],0,[720  -1  -1   0   0   0   0]
F100#87,4.189903020858765,9,26880,[],0,[  0 720  -1  -1  60   0   0   0   0]
A320#152,1.9271347522735596,7,58800,[],0,[60  0  0  0  0  0  0]
A320#49,2.1006717681884766,8,28800,[],0,[-1 -1  0  0  0  0  0  0]
A321#197,1.9136874675750732,8,18000,[],0,[ 0 -1 -1  0  0  0  0  0]
ERJ135#178,0.2995414733886719,8,6912,[],0,[0 0 0 0 0 0 0 0]
A318#17,5.755945682525635,9,93312,[],0,[-1 -1  0  0  0  0  0  0  0]
BAE300#117,17.006888389587402,10,138240,[],0,[60 60 -1 -1  0  0  0  0  0  0]
A321#114,22.284505605697632,8,141120,[],0,[  0 600 120 180  -1  -1   0   0]
A320#235,5.196930885314941,8,181440,[],0,[ 0 60  0  0  0  0  0  0]
A321#147,15.508747100830078,8,145152,[],0,[-1 -1  0  0  0  0  0  0]
A320#128,27.161393404006958,9,207360,[],0,[ 0 -1 -1  0  0  0  0  0  0]
A319#149,8.343129873275757,9,108864,[],0,[-1 -1  0  0  0  0  0  0  0]
A318#24,67.720144033432,9,241920,[],0,[840  -1  -1  -1  -1   0   0   0   0]
A319#20,28.40783715248108,10,248832,[],0,[ 0 -1 -1  0  0  0  0  0  0  0]
A321#200,40.81806516647339,9,172800,[],0,[720  -1  -1  -1  -1   0   0   0   0]
A318#183,10.729958057403564,9,76800,[],0,[-1 -1  0  0  0  0  0  0  0]
A319#187,71.96623992919922,10,259200,[],0,[720  -1  -1  -1  -1   0   0   0   0   0]
A319#188,43.46597480773926,10,126000,[],0,[180  -1  -1   0   0   0   0   0   0   0]
A320#141,23.602880239486694,10,97200,[],0,[ 0 -1 -1  0  0  0  0  0  0  0]
A320#222,93.48273587226868,11,217728,[],0,[780   0  -1  -1  -1  -1   0   0   0   0   0]
