aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
A321#107,0.0020017623901367188,2,6,[],0,[240   0]
A320#205,0.38902854919433594,6,4200,[],0,[660   0   0   0   0   0]
A320#151,0.09900712966918945,5,3528,[],0,[540 120   0   0   0]
A320#112,2.2626779079437256,7,20160,[],0,[-1 -1  0  0  0  0  0]
A319#42,1.343618631362915,7,8640,[],0,[180  -1  -1   0   0   0   0]
A319#40,0.25201940536499023,11,1440,[],0,[-1  0 -1  0 -1  0 -1  0 -1 -1 -1]
A319#248,0.26901984214782715,6,7560,[],0,[600  60  60   0   0   0]
A319#246,0.1090078353881836,5,1080,[],0,[180 180 120 240  -1]
A319#203,0.1810145378112793,6,5670,[],0,[ 60 120   0   0   0   0]
A319#101,0.0010061264038085938,1,1,[],0,[-1]
A318#34,0.8530676364898682,8,6480,[],0,[300  -1  -1   0   0   0   0   0]
A318#32,0.7330563068389893,8,12096,[],0,[180  -1  -1   0   0   0   0   0]
A318#247,0.035001516342163086,5,1890,[],0,[60  0  0  0  0]
A319#249,5.256977081298828,9,30720,[],0,[-1 -1 -1 -1  0  0  0  0  0]
A320#102,3.216294527053833,9,49920,[],0,[120  -1  -1   0   0   0   0   0   0]
A320#204,0.042001962661743164,8,672,[],0,[-1 -1  0  0  0  0  0  0]
A320#223,0.22101640701293945,7,7776,[],0,[780 600 180   0   0   0   0]
A320#250,0.5400693416595459,9,11664,[],0,[ -1  -1   0   0 720  60   0   0   0]
A320#47,1.6531238555908203,10,26880,[],0,[-1 -1 -1 -1  0  0  0  0  0  0]
A320#50,1.4796183109283447,11,13824,[],0,[ -1  -1   0 840  -1  -1   0   0   0   0   0]
A320#53,4.067301511764526,12,48384,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A320#54,0.1460402011871338,10,4608,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A320#55,0.694054126739502,10,2880,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#56,0.047997236251831055,11,1152,[],0,[ -1  -1 180 780  -1  -1   0   0   0   0   0]
A320#60,1.1540865898132324,11,7680,[],0,[-1 -1 -1 60 60  0  0  0  0  0  0]
A320#7,0.5920734405517578,12,15552,[],0,[-1 -1 -1 -1  0  0  0  0  0  0  0  0]
A320#91,0.03600287437438965,7,180,[],0,[-1 -1 -1 -1 -1 -1 -1]
A320#98,1.1731207370758057,9,135,[],0,[-1 -1 -1 -1 -1  0  0  0  0]
A321#131,1.3666086196899414,8,2112,[],0,[ -1  -1  -1 600 300 300 300   0]
A321#63,5.005936861038208,11,40500,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0]
A318#35,2.13222074508667,12,5760,[],0,[-1 -1 -1  0  0  0  0  0  0  0  0  0]
A319#126,0.05800437927246094,11,384,[],0,[-1 -1 -1 -1 -1 -1  0 -1 -1  0  0]
A319#127,1.6926774978637695,9,6720,[],0,[-1 -1 -1 -1 -1 -1 -1 -1 -1]
A319#190,2.0927276611328125,10,5760,[],0,[ -1  -1  -1  -1 660 120 180 180 120  -1]
A319#211,1.4351048469543457,9,19200,[],0,[ -1  -1   0   0   0 120 480  60  -1]
A319#37,2.603715419769287,11,13500,[],0,[ -1  -1  -1 180 720 720 240 240  -1  -1   0]
A319#38,1.233091115951538,13,10752,[],0,[-1 -1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A319#39,1.3360984325408936,12,6144,[],0,[-1 -1 -1 -1 -1 -1 60 60 -1 -1  0  0]
A319#4,1.0971250534057617,12,4320,[],0,[ -1  -1  -1  -1 840 900 420  -1  -1   0   0  -1]
A319#41,0.4940342903137207,11,864,[],0,[ -1  -1  -1  -1  -1 720 780   0   0   0   0]
A319#45,3.7002768516540527,12,17280,[],0,[ -1  -1  -1  -1 780 840 480 480 540  -1  -1  -1]
A319#5,3.3052453994750977,12,18144,[],0,[ -1  -1  -1  -1  -1 840 840  -1  -1   0   0   0]
A319#95,0.6590547561645508,10,3840,[],0,[-1 -1  0  0  0  0  0 -1 -1  0]
A320#105,0.7740566730499268,10,3780,[],0,[-1 -1  0  0  0  0  0  0  0 -1]
A320#138,3.514770746231079,12,25920,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A320#139,1.2520945072174072,11,4320,[],0,[ -1  -1  -1  -1  -1 600 120  -1  -1   0   0]
A320#161,0.3870279788970947,11,1728,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0]
A320#168,0.5610413551330566,10,8640,[],0,[-1 -1 -1 -1  0  0  0  0  0  0]
A320#46,1.0970821380615234,11,18816,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0]
A320#48,2.0987002849578857,12,5760,[],0,[ -1   0   0   0   0 660  -1  -1  -1  -1   0   0]
A320#49,1.0970814228057861,12,15360,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0 60]
A320#51,0.35102295875549316,10,2560,[],0,[ -1  -1  -1 780  -1  -1   0   0   0   0]
A320#57,1.8486566543579102,11,6912,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0]
A320#8,4.074862718582153,12,23040,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A321#26,5.343955755233765,11,16128,[],0,[ -1  -1  -1  -1  -1 600 120  -1  -1   0   0]
A321#80,13.274605989456177,11,41472,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0]
A319#100,0.6090528964996338,12,5376,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0 60]
A319#44,1.5162146091461182,10,4320,[],0,[ -1   0   0 600  -1  -1   0   0   0   0]
A319#99,0.9611194133758545,12,3456,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0 -1]
A320#12,3.4992597103118896,12,28800,[],0,[ -1  -1  -1  -1   0 600 180 180 300  -1  -1   0]
A321#197,12.10465407371521,12,64800,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A321#236,1.8231353759765625,10,12960,[],0,[ -1  -1  -1  -1 660 660 240 180 240  -1]
A320#1,2.6807472705841064,10,70000,[],0,[ -1  -1  -1 660 180 180   0   0   0   0]
A320#21,7.263067007064819,10,33600,[],0,[ -1  -1  -1  -1 600 180 180 180 300  -1]
A320#152,10.76841950416565,12,86400,[],0,[ -1  -1  -1  -1  -1 180   0   0   0   0   0   0]
A320#191,24.583098888397217,13,86400,[],0,[-1 -1 -1 60 -1 -1  0  0  0  0  0 -1 -1]
