index, aircraft,delta1,noFlights,noCombos,singletonList,noSolutions
0,A318#34,2.091670274734497,6,7840,[],73
1,A319#246,0.013001680374145508,2,4,[],4
2,ERJ135#159,1.9388620853424072,6,6480,[],145
3,ERJ135#207,0.6260793209075928,6,1800,[],80
4,A320#56,1.2123475074768066,8,3888,[],23
5,A340#16,0.019077539443969727,4,54,[],7
6,CRJ700#67,0.2655632495880127,5,1080,[],38
7,A318#33,3.493054151535034,7,9600,[],165
8,A319#101,0.5372438430786133,6,2268,[],1
9,A318#125,0.35924792289733887,6,1152,[],1
10,A320#6,1.2037737369537354,7,4320,[],11
11,A319#163,3.6973321437835693,8,12000,[],222
12,A319#127,5.201596975326538,8,17280,[],37
13,A320#59,0.3260040283203125,7,1152,[],20
14,A320#50,0.16976261138916016,7,576,[],15
15,ERJ135#18,4.602150917053223,7,13824,[],123
16,A320#129,0.44141173362731934,7,1440,[],56
17,A320#105,0.29978203773498535,6,900,[],29
18,A320#120,2.0269651412963867,8,6912,[],6
19,CRJ100#225,1.6806209087371826,7,5760,[],70
20,A320#138,4.916842937469482,8,15120,[],72
21,A321#106,2.5139009952545166,7,8640,[],4
22,A320#53,0.3566153049468994,8,1152,[],26
23,A320#153,4.914191961288452,8,15552,[],82
24,A321#197,6.6233155727386475,8,21600,[],169
25,A320#48,0.6213104724884033,8,2160,[],11
26,ERJ135#93,3.632296323776245,7,12288,[],36
27,A319#38,1.333493709564209,8,4320,[],39
28,ERJ135#29,6.305505990982056,7,21120,[],131
29,A321#236,2.202146291732788,5,7920,[],180
30,CRJ100#226,6.571739196777344,8,21504,[],15
31,A320#168,5.313191652297974,6,17496,[],391
32,F100#87,7.472722291946411,9,21600,"[[('F100#87', 'F100', '533701/03/08', 'LYS', 880, 940, 'RNS', 960, 1020, '0', 30, 0), 'arr']]",263
33,A320#139,8.462221384048462,8,25920,[],145
34,ERJ135#178,3.187985897064209,8,10368,[],43
35,A321#114,12.261137247085571,8,39375,[],283
36,A320#152,6.664306879043579,7,21840,[],388
37,A319#126,11.053178548812866,8,34560,[],147
38,A320#49,20.579140424728394,8,64800,[],249
39,A318#17,55.427223682403564,9,165888,[],580
40,A320#235,52.09339880943298,8,163296,[],725
41,A321#147,56.74468684196472,8,151200,[],502
42,A320#128,68.33424854278564,9,207360,[],1121
43,A319#149,56.1479332447052,9,169344,[],382
44,A320#141,23.736385107040405,10,72576,[],122
45,A319#20,27.710654497146606,10,81000,[],150
46,A321#200,11.13814640045166,9,34992,[],47
47,A319#188,46.84969615936279,10,138240,[],202
48,A318#24,36.348246574401855,9,110592,[],78
49,A320#222,56.93005704879761,11,155520,[],1
50,A319#187,98.97695851325989,10,288000,[],131
