aircraft,delta1,noFlights,noCombos,singletonList,noSolutions
F100#1,1.007770299911499,3,3808,[],485
ERJ145#5,0.9826235771179199,3,3808,[],636
ERJ145#2,0.04094219207763672,2,96,[],32
ERJ135#1,0.11204361915588379,2,255,[],107
CRJ100#3,0.663010835647583,3,2464,[],294
BAE300#1,0.008002758026123047,1,11,[],11
BAE200#3,0.08094334602355957,3,320,[],53
BAE200#2,0.05845499038696289,2,208,[],89
A320#15,0.593048095703125,3,2100,[],425
A319#9,0.4540414810180664,3,1638,[],286
A319#7,2.4469563961029053,5,8800,[],510
A319#6,1.604133129119873,4,9438,[],396
A319#4,0.718062162399292,4,4620,[],151
A319#14,0.39003443717956543,3,1950,[],252
A319#12,0.4980454444885254,3,2184,[],460
A318#6,1.5071287155151367,4,8250,[],424
A318#1,0.27402424812316895,3,1440,[],119
A319#17,3.5663068294525146,4,17160,[],690
A319#18,3.3302853107452393,4,16800,[],1163
A319#5,2.6132216453552246,4,14400,[],374
A321#1,4.123351573944092,5,16016,[],513
A321#4,3.143268346786499,4,16016,[],476
CRJ100#1,2.616318941116333,5,14400,[],694
ERJ145#1,0.017999887466430664,2,80,[],31
ERJ145#3,3.767319917678833,4,16731,[],597
A319#11,5.168438911437988,5,22022,[],427
A320#17,7.958680629730225,5,25200,[],1082
A320#19,5.935503959655762,4,18900,[],749
A320#20,6.5435566902160645,4,17424,[],742
A320#22,3.9583373069763184,4,15795,[],667
A321#3,4.725402593612671,4,11583,[],524
BAE300#3,6.821580648422241,4,22308,[],1370
F100#5,0.6800603866577148,4,1560,[],310
A319#7,2.3712046146392822,5,8000,[],365
A320#14,6.793579339981079,5,39600,[],796
A320#15,11.096943140029907,4,31500,[],2098
BAE300#1,0.02400350570678711,2,108,[],43
A320#1,4.824411392211914,4,18720,[],1099
A318#5,17.602495193481445,5,101376,[],1386
A320#11,26.667264461517334,5,133848,[],1181
A320#5,33.293646574020386,5,138240,[],801
A319#3,43.653443574905396,6,138240,[],2374
A319#8,29.85964608192444,5,129024,[],1471
A320#12,24.409668445587158,5,142296,[],3251
A320#7,52.87549138069153,6,135520,[],1982
A321#5,20.15761399269104,5,117612,[],852
A319#11,5.86255955696106,5,15972,[],330
A320#10,28.325690269470215,5,113256,[],3737
A320#3,5.035272598266602,4,19305,[],792
A320#4,74.07595586776733,6,178464,[],2512
A321#3,46.620346546173096,5,136890,[],1959
A318#6,31.774397134780884,5,78000,[],1209
A321#2,54.14383602142334,5,137280,[],1370
A318#4,150.4604024887085,6,415800,[],4376
A319#2,337.74219822883606,6,1898208,[],7338
A320#6,379.4123728275299,6,2822400,[],10208
