A1   (Douglas Skyraider),FOCA-9,Generic (>500hp),1,A1-A,
A124   (Antonov An-124 Ruslan),3GE078,CF6-50C2B,4,A124-A,
A148   (Antonov An-148),13ZM004,D-436-148 F2,2,A148-A,
A158   (Antonov An-158) with 13ZM003 engines,13ZM003,D-436-148 F1,2,A158-A,
A158   (Antonov An-158) with 13ZM004 engines,13ZM004,D-436-148 F2,2,A158-B,
A20     (Douglas A-20 Havoc),FOCA-9,Generic (>500hp),2,A20-A,
A205   (Oskbes-Mai MAI-205),FOCA-2,IO-360-A1B6,1,A205-A,
A21   (Aeropract A-21 Solo),FOCA-13,Rotax 582 DCDI,1,A21-A,
A210   (Aquila A-210),FOCA-15,Rotax 912S,1,A210-A,
A225   (Antonov An-225 Mriya),3GE077,CF6-50E2,6,A225-A,
A23   (Aeropract A-23 Dragon),FOCA-13,Rotax 582 DCDI,1,A23-A,
A3   (Douglas Skywarrior),4RR035,Spey 555,2,A3-A,
A306   (Airbus A-300B4-600) with 1PW030 engines,1PW030,JT9D-7R4H1,2,A306-E,
A306   (Airbus A-300B4-600) with 1PW048 engines **,1PW048,PW4158,2,A306-F,
A306   (Airbus A-300B4-600) with 2GE036 engines,2GE036,CF6-80C2A1,2,A306-A,
A306   (Airbus A-300B4-600) with 2GE038 engines,2GE038,CF6-80C2A3,2,A306-B,
A306   (Airbus A-300B4-600) with 2GE039 engines,2GE039,CF6-80C2A5,2,A306-C,
A306   (Airbus A-300B4-600) with 3GE056 engines,3GE056,CF6-80C2A5F,2,A306-D,
A30B   (Airbus A-300B2) with 3GE070 engines,3GE070,CF6-50C,2,A30B-A,
A30B   (Airbus A-300B2) with 3GE074 engines **,3GE074,CF6-50C2,2,A30B-B,
A310   (Airbus A-310) with 1GE013 engines,1GE013,CF6-80A3,2,A310-A,
A310   (Airbus A-310) with 1PW026 engines,1PW026,JT9D-7R4D -7R4D1,2,A310-D,
A310   (Airbus A-310) with 1PW027 engines,1PW027,JT9D-7R4E -7R4E1,2,A310-E,
A310   (Airbus A-310) with 1PW045 engines,1PW045,PW4152,2,A310-F,
A310   (Airbus A-310) with 1PW047 engines,1PW047,PW4156,2,A310-G,
A310   (Airbus A-310) with 2GE037 engines **,2GE037,CF6-80C2A2,2,A310-B,
A310   (Airbus A-310) with 2GE040 engines,2GE040,CF6-80C2A8,2,A310-C,
A318   (Airbus A-318) with 7CM048 engines **,7CM048,CFM56-5B8/P,2,A318-A,A318
A318   (Airbus A-318) with 7PW083 engines,7PW083,PW6122A,2,A318-B,A318
A318   (Airbus A-318) with 7PW084 engines,7PW084,PW6124A,2,A318-C,A318
A319   (Airbus A-319) with 1IA003 engines,1IA003,V2527-A5,2,A319-J,A319
A319   (Airbus A-319) with 3CM027 engines **,3CM027,CFM56-5B5/P,2,A319-D,A319
A319   (Airbus A-319) with 3CM028 engines,3CM028,CFM56-5B6/P,2,A319-E,A319
A319   (Airbus A-319) with 3IA006 engines,3IA006,V2522-A5,2,A319-H,A319
A319   (Airbus A-319) with 3IA007 engines,3IA007,V2524-A5,2,A319-I,A319
A319   (Airbus A-319) with 4CM035 engines,4CM035,CFM56-5A4,2,A319-A,A319
A319   (Airbus A-319) with 4CM036 engines,4CM036,CFM56-5A5,2,A319-B,A319
A319   (Airbus A-319) with 6CM044 engines,6CM044,CFM56-5B7/P,2,A319-G,A319
A319   (Airbus A-319) with 8CM056 engines,8CM056,CFM56-5B5/3,2,A319-C,A319
A319   (Airbus A-319) with 8CM058 engines,8CM058,CFM56-5B7/3,2,A319-F,A319
A319   (Airbus A-319) with 8IA009 engines,8IA009,V2527M-A5,2,A319-K,A319
A320   (Airbus A-320) with 1CM008 engines,1CM008,CFM56-5-A1,2,A320-A,A320
A320   (Airbus A-320) with 1CM009 engines,1CM009,CFM56-5A3,2,A320-B,A320
A320   (Airbus A-320) with 1IA001 engines,1IA001,V2500-A1,2,A320-H,A320
A320   (Airbus A-320) with 1IA003 engines,1IA003,V2527-A5,2,A320-I,A320
A320   (Airbus A-320) with 2CM018 engines,2CM018,CFM56-5B4/2,2,A320-C,A320
A320   (Airbus A-320) with 3CM021 engines,3CM021,CFM56-5B4/2P,2,A320-D,A320
A320   (Airbus A-320) with 3CM026 engines **,3CM026,CFM56-5B4/P,2,A320-F,A320
A320   (Airbus A-320) with 3CM028 engines,3CM028,CFM56-5B6/P,2,A320-G,A320
A320   (Airbus A-320) with 8CM055 engines,8CM055,CFM56-5B4/3,2,A320-E,A320
A320   (Airbus A-320) with 8IA010 engines,8IA010,V2527E-A5,2,A320-J,A320
A320   (Airbus A-320 NEO) with 15PW105 engines,15PW105,PW1127G-JM,2,320N-A,A320
A321   (Airbus A-321) with 1IA005 engines,1IA005,V2530-A5,2,A321-F,A321
A321   (Airbus A-321) with 2CM012 engines,2CM012,CFM56-5B1,2,A321-A,A321
A321   (Airbus A-321) with 2CM013 engines,2CM013,CFM56-5B2,2,A321-C,A321
A321   (Airbus A-321) with 3CM020 engines,3CM020,CFM56-5B1/2P,2,A321-B,A321
A321   (Airbus A-321) with 3CM025 engines,3CM025,CFM56-5B3/P,2,A321-E,A321
A321   (Airbus A-321) with 3IA008 engines **,3IA008,V2533-A5,2,A321-G,A321
A321   (Airbus A-321) with 8CM054 engines,8CM054,CFM56-5B3/3,2,A321-D,A321
A33   (Aeropract A-33),FOCA-15,Rotax 912S,1,A33-A,
A332   (Airbus A-330-200) with 2GE051 engines,2GE051,CF6-80E1A2,2,A332-A,A330
A332   (Airbus A-330-200) with 4GE081 engines,4GE081,CF6-80E1A4,2,A332-C,A330
A332   (Airbus A-330-200) with 5GE085 engines,5GE085,CF6-80E1A3,2,A332-B,A330
A332   (Airbus A-330-200) with 7PW082 engines,7PW082,PW4168A,2,A332-D,A330
A332   (Airbus A-330-200) with 14RR071 engines **,14RR071,Trent 772,2,A332-E,A330
A333   (Airbus A-330-300) with 2GE051 engines,2GE051,CF6-80E1A2,2,A333-A,
A333   (Airbus A-330-300) with 5PW075 engines,5PW075,PW4168,2,A333-C,
A333   (Airbus A-330-300) with 7PW081 engines,7PW081,PW4164,2,A333-B,
A333   (Airbus A-330-300) with 7PW082 engines,7PW082,PW4168A,2,A333-E,
A333   (Airbus A-330-300) with 9PW093 engines,9PW093,PW4168-1D,2,A333-D,
A333   (Airbus A-330-300) with 14RR070 engines,14RR070,Trent 768,2,A333-F,
A333   (Airbus A-330-300) with 14RR071 engines **,14RR071,Trent 772,2,A333-G,
A342   (Airbus A-340-200) with 1CM010 engines **,1CM010,CFM56-5C2,4,A342-A,
A342   (Airbus A-340-200) with 1CM011 engines,1CM011,CFM56-5C3,4,A342-B,
A343   (Airbus A-340-300) with 1CM010 engines,1CM010,CFM56-5C2,4,A343-A,A340
A343   (Airbus A-340-300) with 1CM011 engines,1CM011,CFM56-5C3,4,A343-B,A340
A343   (Airbus A-340-300) with 2CM015 engines **,2CM015,CFM56-5C4,4,A343-C,A340
A343   (Airbus A-340-300) with 7CM047 engines,7CM047,CFM56-5C4/P,4,A343-D,A340
A345   (Airbus A-340-500) with 8RR044 engines **,8RR044,Trent 553-61,4,A345-A,
A345   (Airbus A-340-500) with 8RR045 engines,8RR045,Trent 556-61,4,A345-B,
A346   (Airbus A-340-600) with 8RR044 engines,8RR044,Trent 553-61,4,A346-A,
A346   (Airbus A-340-600) with 8RR045 engines **,8RR045,Trent 556-61,4,A346-B,
A359   (Airbus A-350-900 XWB),14RR075,Trent XWB-84,2,A359-A,
A37   (Cessna Dragonfly),3CM022,CFM56-5B6/2P,2,A37-A,
