Time window [min.],Cost [EURO],colourCost,Solution time [sec.],Total delay [min.],Number of cancelled flights,newFlight,taxiFlight,species,size
900,774055047.9,774,1321.1902,931140,3233,-1,-1,Default pincer,288.0111352
960,769936130.2,769,2038.112714,987000,3246,-1,-1,Default pincer,304.0665434
1020,771030721.1,771,1577.851156,1190220,3190,-1,-1,Default pincer,373.1097179
1080,758219842.7,758,1678.835868,1331400,3149,-1,-1,Default pincer,422.8008892
1140,752515230,752,1632.241706,1413300,3109,-1,-1,Default pincer,454.5834674
1200,755588791.1,755,2167.222456,1465380,3261,-1,-1,Default pincer,449.3652254
1260,751651862.2,751,2124.550098,1613340,3078,-1,-1,Default pincer,524.1520468
900,765496720.2,765,2327.522605,949020,3222,-1,-1,Faster pincer,294.5437616
960,761855903.5,761,1418.397978,1030620,3278,-1,-1,Faster pincer,314.4051251
1020,771293771.8,771,1570.093486,1133640,3273,-1,-1,Faster pincer,346.3611366
1080,760474295.7,760,1915.822423,1339080,3154,-1,-1,Faster pincer,424.5656309
1140,755415757.9,755,1754.663561,1404240,3036,-1,-1,Faster pincer,462.5296443
1200,755560323.8,755,1860.891646,1494780,3049,-1,-1,Faster pincer,490.2525418
1260,753075064.1,753,1987.836524,1641900,3119,-1,-1,Faster pincer,526.4187239
