aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
ERJ135#2,0.048004150390625,2,36,[],0,[60 60]
A321#2,0.03500247001647949,2,120,[],0,[60 60]
A321#1,0.14301323890686035,3,1144,[],0,[120 120 120]
A320#8,0.056005239486694336,1,11,[],0,[60]
A320#7,0.03800201416015625,2,90,[],0,[60 60]
A320#5,0.04700517654418945,3,880,[],0,[60 60 60]
A320#4,0.0260007381439209,2,88,[],0,[60 60]
A320#3,0.04700112342834473,1,9,[],0,[60]
A320#2,0.03200197219848633,1,7,[],0,[60]
A319#8,0.03800320625305176,2,99,[],0,[60 60]
A319#5,0.028000593185424805,1,8,[],0,[120]
A319#4,0.028000593185424805,2,42,[],0,[60 60]
A319#10,0.032004356384277344,1,7,[],0,[60]
A318#8,0.03200340270996094,1,12,[],0,[60]
A318#4,0.07300615310668945,3,960,[],0,[120 120 120]
A318#2,0.041005849838256836,1,4,[],0,[60]
