aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
CRJ700#67,0.5100455284118652,5,7488,[],0,[60  0  0  0  0]
A340#16,0.031004667282104492,4,108,[],0,[900 900 540  -1]
A330#15,0.031003236770629883,1,1,[],0,[-1]
A320#105,1.4631257057189941,6,6720,[],0,[180 660 120   0   0   0]
A319#5,0.21602225303649902,5,1764,[],0,[60 60  0  0  0]
A319#101,1.0560905933380127,6,2520,[],0,[-1 -1 -1 -1 -1 -1]
A318#34,0.273024320602417,6,384,[],0,[120 780  -1  -1   0   0]
A318#247,0.10200738906860352,3,54,[],0,[60  0  0]
A318#125,0.44904494285583496,6,1728,[],0,[-1 -1  0  0  0  0]
A318#33,2.9952549934387207,7,12960,[],0,[  0 180  -1  -1   0   0   0]
A319#163,3.5423007011413574,8,17280,[],0,[60 -1 -1  0  0  0  0  0]
A320#129,0.2840249538421631,7,2160,[],0,[120   0   0   0   0   0   0]
A320#153,5.747491121292114,8,15552,[],0,[780  -1  -1   0   0   0   0   0]
A320#48,2.941248655319214,8,5760,[],0,[840 840  -1  -1   0   0   0   0]
A320#50,0.15401530265808105,7,288,[],0,[-1 -1  0  0  0  0  0]
A320#53,0.1530158519744873,8,1440,[],0,[-1 -1  0  0  0  0  0  0]
A320#56,0.24702239036560059,8,432,[],0,[840  -1  -1   0   0   0   0   0]
A320#59,0.2560276985168457,7,768,[],0,[780  -1  -1   0   0   0   0]
A320#6,1.442124843597412,7,3780,[],0,[840 360  -1  -1  -1  -1   0]
A321#106,2.2001872062683105,7,6480,[],0,[780  -1  -1  -1  -1   0   0]
CRJ100#225,0.8950777053833008,7,8448,[],0,[-1 -1  0  0  0  0  0]
ERJ135#159,0.417036771774292,6,3600,[],0,[60  0  0  0  0  0]
ERJ135#18,1.0580859184265137,7,11520,[],0,[-1 -1  0  0  0  0  0]
ERJ135#93,1.8681557178497314,7,7200,[],0,[780  -1  -1   0   0   0   0]
A319#126,1.8151514530181885,8,12960,[],0,[-1 -1  0  0  0  0  0 -1]
A319#127,0.975083589553833,8,7560,[],0,[-1 -1  0  0  0  0  0  0]
A319#38,0.7650680541992188,8,4860,[],0,[60 -1 -1  0  0  0  0  0]
A319#45,0.6710598468780518,7,1440,[],0,[-1 -1 -1 -1 -1 -1 -1]
A320#120,0.688060998916626,8,2592,[],0,[900 900  -1  -1  -1  -1  -1  -1]
A320#138,0.6420550346374512,8,5184,[],0,[-1 -1  0 60  0  0  0  0]
A320#139,2.986255407333374,8,25920,[],0,[-1 -1  0  0  0  0  0  0]
A320#168,2.1781835556030273,6,23520,[],0,[120 600  60   0   0   0]
A321#197,2.970245599746704,8,18000,[],0,[60 -1 -1  0  0  0  0  0]
CRJ100#226,3.4092884063720703,8,15360,[],0,[ -1  -1  -1 540 540  -1   0   0]
ERJ135#178,0.9270801544189453,8,7680,[],0,[-1 -1  0  0  0  0  0  0]
ERJ135#29,6.479548215866089,7,19008,[],0,[780 780 300 300  60   0   0]
F100#87,2.5622189044952393,8,16800,[],0,[60 60  0  0  0  0  0  0]
A320#152,2.474212169647217,7,35280,[],0,[120   0   0   0   0   0   0]
A320#49,6.318536281585693,8,64800,[],0,[-1 -1  0  0  0  0  0  0]
A321#114,12.85711121559143,8,77760,[],0,[ 60 600 120 180  -1  -1   0   0]
CRJ100#214,5.8324949741363525,10,77760,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A321#147,12.319044828414917,8,96768,[],0,[-1 -1  0  0  0  0  0  0]
A318#17,10.079854488372803,9,124416,[],0,[-1 -1  0  0  0  0  0  0  0]
A320#235,23.96303391456604,8,181440,[],0,[-1 -1  0  0  0  0  0  0]
A320#128,23.047956705093384,9,259200,[],0,[-1 -1 60  0  0  0  0  0  0]
A319#149,14.755252599716187,9,127008,[],0,[-1 -1  0  0  0  0  0  0  0]
A320#141,55.68572759628296,10,226800,[],0,[720  -1  -1   0   0   0   0   0   0   0]
A321#200,28.694436073303223,9,90000,[],0,[780  -1  -1  -1  -1   0   0   0   0]
A318#183,16.38539171218872,9,190080,[],0,[-1 -1  0  0  0  0  0  0  0]
A318#24,42.42060160636902,9,138240,[],0,[720 720 300  -1  -1   0   0   0   0]
A319#187,51.21634888648987,10,153600,[],0,[780  -1  -1  -1  -1   0   0   0   0   0]
A319#188,20.178712606430054,10,96768,[],0,[720  -1  -1   0   0   0   0   0   0   0]
A319#20,8.150691509246826,10,46080,[],0,[60 -1 -1  0  0  0  0  0  0  0]
A320#222,43.45869183540344,11,103680,[],0,[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
