aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
F100#2,0.0020017623901367188,1,14,[],0,[60]
CRJ100#4,0.057004451751708984,3,576,[],0,[ 60 120 120]
CRJ100#3,0.028000593185424805,2,154,[],0,[60 60]
BAE300#3,0.024000883102416992,2,143,[],0,[60 60]
BAE200#2,0.040006399154663086,1,13,[],0,[180]
A320#9,0.08900904655456543,3,1680,[],0,[60 60 60]
A320#8,0.04100537300109863,2,143,[],0,[60 60]
A320#6,0.06200599670410156,3,960,[],0,[60 60 60]
A320#5,0.04900670051574707,3,880,[],0,[60 60 60]
A320#22,0.031005382537841797,2,108,[],0,[60 60]
A320#10,0.06600570678710938,3,1680,[],0,[60 60 60]
A319#8,0.07100319862365723,3,1287,[],0,[60 60 60]
A319#6,0.03499889373779297,2,66,[],0,[60  0]
A319#5,0.030002355575561523,2,64,[],0,[120 120]
A319#13,0.029005765914916992,2,91,[],0,[60 60]
A318#8,0.02899956703186035,2,156,[],0,[60 60]
A318#2,0.04800248146057129,1,4,[],0,[60]
A319#2,0.8370726108551025,4,13440,[],0,[60 60 60 60]
A318#4,18.168548107147217,6,187200,[],0,[  0 240 240 240 240 180]
A320#7,15.211292743682861,6,289575,[],0,[  0 240 240 240 180 240]
