aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
ERJ135#93,0.030004024505615234,2,1,[],0,[-1 -1]
BAE300#81,0.041010379791259766,5,1,[],0,[-1 -1 -1 -1 -1]
A321#107,0.047002553939819336,2,6,[],0,[240   0]
A320#205,0.5730526447296143,6,4200,[],0,[660   0   0   0   0   0]
A320#151,0.24101686477661133,5,4032,[],0,[540 120   0   0   0]
A319#42,1.2841088771820068,7,8640,[],0,[180  -1  -1   0   0   0   0]
A319#248,0.5510485172271729,6,7560,[],0,[600  60  60   0   0   0]
A319#246,0.32802534103393555,5,1080,[],0,[180 180 120 240  -1]
A319#203,0.368030309677124,6,5670,[],0,[ 60 120   0   0   0   0]
A319#101,0.06100606918334961,1,1,[],0,[-1]
A318#34,1.1510951519012451,8,6480,[],0,[300  -1  -1   0   0   0   0   0]
A318#247,0.1940159797668457,5,1890,[],0,[60  0  0  0  0]
A320#112,1.176103115081787,7,11520,[],0,[-1 -1  0  0  0  0  0]
A320#204,1.0210916996002197,8,6720,[],0,[-1 -1  0  0  0  0  0  0]
A320#223,0.6090512275695801,7,15552,[],0,[120 600 180   0   0   0   0]
A320#48,1.7631549835205078,7,8640,[],0,[660  -1  -1   0   0   0   0]
A320#56,0.5830535888671875,11,6912,[],0,[-1 -1  0  0 -1 -1  0  0  0  0  0]
A320#91,1.2691097259521484,7,4536,[],0,[420  -1  -1 780 300 360 180]
A320#98,0.1810154914855957,9,504,[],0,[ -1  -1  -1  -1 660 120   0   0   0]
A321#131,0.4540402889251709,8,2970,[],0,[ -1  -1  -1 600 300 300 300   0]
A319#249,1.7751553058624268,10,10240,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#250,0.8140711784362793,9,18144,[],0,[ -1  -1   0   0 720  60   0   0   0]
A320#50,1.1610960960388184,11,13824,[],0,[ -1  -1   0 840  -1  -1   0   0   0   0   0]
A320#54,0.9370784759521484,10,10800,[],0,[-1 -1 -1  0  0  0  0  0  0  0]
A320#55,1.438122034072876,10,5760,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#7,1.2451047897338867,12,6048,[],0,[-1 -1 -1 -1 -1 -1 -1  0  0  0  0  0]
A318#35,0.5270416736602783,12,6912,[],0,[-1 -1 -1  0  0  0  0  0  0  0  0  0]
A319#126,3.2192723751068115,11,7680,[],0,[-1 -1 -1 -1 -1 -1  0 -1 -1  0  0]
A319#127,5.783491611480713,9,13440,[],0,[-1 -1 -1 -1 -1 -1 -1 -1 -1]
A319#190,5.471467018127441,10,20160,[],0,[ -1  -1  -1  -1 660 120 180 180 120  -1]
A319#211,2.8132383823394775,9,23040,[],0,[ -1 240 720 720 180 480 480  60  -1]
A319#39,3.1062629222869873,12,9216,[],0,[-1 -1 -1 -1 -1 -1 60 60 -1 -1  0  0]
A319#4,0.6460535526275635,12,3600,[],0,[ -1  -1  -1  -1  -1  -1  60  60   0 180  -1  -1]
A319#41,0.41803598403930664,11,2592,[],0,[ -1  -1  -1  -1  -1 780 780   0   0   0   0]
A319#5,6.743574619293213,12,27216,[],0,[ -1  -1  -1  -1  -1 840 840  -1  -1   0   0   0]
A319#95,1.6861443519592285,10,38880,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A320#102,1.0750908851623535,9,9216,[],0,[-1 -1 -1  0  0  0  0  0  0]
A320#105,0.9800906181335449,10,25200,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A320#138,2.457227945327759,12,20736,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A320#139,1.89616060256958,11,5760,[],0,[ -1  -1  -1  -1  -1 600 120  -1  -1   0   0]
A320#161,3.3102805614471436,12,8640,[],0,[120  -1  -1  -1  -1  -1  -1  -1  -1   0   0   0]
A320#168,1.2091021537780762,10,25872,[],0,[-1 -1 -1 -1  0  0  0  0  0  0]
A320#47,0.18701887130737305,11,648,[],0,[ -1  -1  -1  -1 840 300  -1  -1   0   0   0]
A320#49,1.192103624343872,12,12600,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0 60]
A320#51,3.9633355140686035,10,18000,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#53,0.6810541152954102,12,2304,[],0,[-1 -1 -1 -1 -1 -1  0  0 -1 -1  0  0]
A320#57,2.9912543296813965,11,10800,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0]
A320#60,0.43003296852111816,11,2880,[],0,[-1 -1 -1 -1  0  0  0  0  0  0  0]
A320#8,0.4120347499847412,10,864,[],0,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
A321#26,3.5293028354644775,11,20160,[],0,[ -1  -1  -1  -1  -1 600 120   0 120 120  -1]
A321#63,0.8480722904205322,11,2268,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0 -1]
A321#80,7.825665712356567,11,26880,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0]
A318#32,0.9090793132781982,9,13104,[],0,[ -1 180  -1  -1   0   0   0   0   0]
A319#100,1.0680861473083496,12,3584,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0 60]
A319#37,2.507211685180664,11,12600,[],0,[ -1  -1  -1 180 720 720 240 240  -1  -1   0]
A319#38,1.1811020374298096,13,2560,[],0,[-1 -1 -1 -1 -1 -1 -1  0 -1 -1  0  0  0]
A319#44,0.6660563945770264,10,2880,[],0,[ -1   0   0 600  -1  -1   0   0   0   0]
A319#45,0.3890340328216553,12,972,[],0,[ -1  -1  -1  -1  -1 660 180 180 240 240  -1  -1]
A319#99,0.6670587062835693,12,2304,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0 -1]
A320#12,3.506300687789917,12,28800,[],0,[ -1  -1  -1  -1   0 600 180 180 300  -1  -1   0]
A320#21,7.753659963607788,10,40320,[],0,[ -1  -1  -1  -1 600 180 180 180 300  -1]
A321#236,2.546215057373047,10,8064,[],0,[-1 -1 -1 -1 -1 -1 60  0  0  0]
A319#40,12.10202932357788,13,43200,[],0,[ -1  -1  -1  -1 780 780 360 360  -1  -1  60 180  -1]
A320#1,1.914165735244751,10,72000,[],0,[ -1  -1  -1 660 180 180   0   0   0   0]
A318#17,44.83380842208862,14,256608,[],0,[ -1  -1  -1 300 840  -1  -1  -1  -1   0   0   0   0   0]
A321#197,87.0163881778717,12,345600,[],0,[360  -1  -1  -1  -1   0   0   0   0   0   0   0]
A319#231,17.20645785331726,12,92160,[],0,[ -1  -1 240  -1  -1 660  60 240 360 120  -1  -1]
A320#152,36.22807478904724,12,331776,[],0,[ -1  -1  -1  -1  -1 180   0   0   0   0   0   0]
A320#191,40.929476261138916,13,279936,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0 60 60]
A318#23,25.213141679763794,12,233280,[],0,[ -1  -1  -1  -1  -1 120   0   0   0   0   0   0]
A319#11,26.562254667282104,12,221184,[],0,[ -1  -1  -1 420 720  -1  -1   0   0   0   0   0]
A319#149,23.437990188598633,14,103680,[],0,[ -1  -1  -1  -1 900 900 900  -1  -1 240 240  -1  -1   0]
A320#128,33.80787110328674,14,152064,[],0,[-1 -1 -1 -1 -1 -1 -1  0  0 -1 -1  0  0  0]
A320#194,31.299656867980957,13,259200,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0  0  0]
A321#198,20.016701459884644,14,138240,[],0,[240  -1  -1  -1  -1  -1  -1   0   0   0   0   0   0  -1]
A319#233,15.100284337997437,12,129600,[],0,[ -1  -1  -1  -1 600 120 120 120 120  -1  -1   0]
A319#234,19.42465090751648,12,320760,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0  0]
A320#192,7.145607233047485,14,58320,[],0,[-1 -1 -1 -1 -1 -1  0  0 -1 -1  0  0  0  0]
A320#46,47.198007106781006,11,345600,[],0,[ 0  0  0  0  0  0 -1 -1 -1 -1 -1]
A320#193,47.48503923416138,14,430080,[],0,[ -1  -1  -1  -1 300 780 840 300 660  -1   0   0  -1  -1]
A320#196,5.8364951610565186,13,120960,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0 60 -1]
A318#24,2.9672529697418213,13,77760,[],0,[-1 -1 -1 -1 -1 -1 60 60 60  0 60 60 60]
A319#166,6.209532022476196,13,120960,[],0,[ -1  -1  -1  -1  -1 660  60 120 120  60 120  -1  -1]
A319#187,1.2271058559417725,15,9600,[],0,[-1 -1 -1 -1 -1 -1 -1 60 -1 -1 -1 -1  0  0  0]
A319#188,1.1901049613952637,15,13824,[],0,[ -1  -1  -1  -1  -1  -1 660 120  -1  -1   0   0   0 120  -1]
A320#141,1.9341707229614258,16,17280,[],0,[ -1  -1  -1  -1  -1  -1 780  -1  -1  60  60  60 300  -1  -1   0]
A318#183,10.048854112625122,15,86016,[],0,[-1 -1 -1 -1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A319#145,4.660398960113525,14,57600,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
