MAX_DELAY, STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs, deltaTime, totalDelay, totalCancel, newFlight, taxiFlight
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1326,A02_6088570,0,0,0,0,0,0,0,0,5547,0,0,204762.3,24.88680387,1260,0,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1326,A03_6088570,0,0,0,0,0,0,0,0,4719,88,0,868443.25,26.21193361,1500,3,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1326,XA03_DATA,0,0,0,0,0,0,0,0,5482,403,0,1877251.15,28.08610749,1500,8,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1326,A07_6088590,0,0,0,0,0,0,0,0,4797,0,0,213290.75,25.91436911,1260,0,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1326,XA01_DATA,0,0,0,0,0,0,0,0,4719,178,0,1368313,27.58500719,1500,8,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1326,A08_6088590,0,0,0,0,0,0,0,0,5482,90,0,1156623.45,26.16189909,1500,3,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1326,A01_6088570,0,0,0,0,0,0,0,0,5281,0,0,31352.85,40.08351159,2580,0,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1326,A06_6088590,0,0,0,0,0,0,0,0,3877,0,0,35965.75,41.52267003,2580,0,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1328,A04_6088570,0,0,0,0,0,0,0,0,10963,354,0,449950.65,153.7051504,24180,1,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1328,A09_6088590,0,0,0,0,0,0,0,0,9365,265,0,517139.8,153.9415278,24180,1,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1336,B_01,0,0,0,0,0,0,0,0,14133,5645,0,17003379.9,617.5066643,15780,99,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1331,X02_DATA,0,0,0,0,0,0,0,0,0,673,45,1901354.9,339.4902742,0,8,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1337,B_06,0,0,0,0,0,0,0,0,13618,5474,0,20592662.65,676.3986306,15780,99,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1332,X01_DATA,0,0,0,0,0,0,0,0,14865,673,45,2494568.9,388.062995,42240,8,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1332,X04_DATA,0,0,0,0,0,0,0,0,0,807,0,2610245.1,399.4408405,0,1,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1335,X03_DATA,0,0,0,0,0,0,0,0,19792,1616,0,5514912.2,583.4552436,55860,9,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1340,B_08,0,0,0,0,0,0,0,0,13958,5608,0,20313346.15,911.6883495,16800,95,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1341,B_03,0,0,0,0,0,0,0,0,14813,5555,0,16875549.05,942.3410146,16800,95,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1341,XB01_DATA,0,0,0,0,0,0,0,0,16173,6905,57,19643490.15,959.0872881,19860,106,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1343,XB03_DATA,0,0,0,0,0,0,0,0,15148,6955,103,25341882.95,1053.874694,19740,109,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1344,B_09,0,0,0,0,0,0,0,0,18208,8123,0,24421705.85,1094.202261,31140,127,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1344,B_05,0,0,0,0,0,0,0,0,12431,24763,0,75430770.35,1123.975216,34440,191,-1,31
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1344,B_10,0,0,0,0,0,0,0,0,14647,23955,0,93816142.1,1135.122814,34440,191,-1,31
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1345,XB04_DATA,0,0,0,0,0,0,0,0,18390,25975,45,95518068.4,1168.507051,39540,243,-1,30
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1345,XB02_DATA,0,0,0,0,0,0,0,0,15748,26023,45,75984269.05,1188.440618,43020,211,-1,30
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1346,A10_6088590,0,0,0,0,0,0,0,0,26271,9565,0,15688235.4,1237.481225,118020,54,-1,13
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1346,B_04,0,0,0,0,0,0,0,0,21103,7976,0,20282190.4,1217.54151,31140,127,-1,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1346,A05_6088570,0,0,0,0,0,0,0,0,26807,11662,0,13193238.25,1266.317913,118020,54,-1,13
