aircraft,delta1,noFlights,noCombos,singletonList,noSolutions
CRJ700#67,1.1130809783935547,5,8424,[],441
A340#16,0.023001432418823242,4,192,[],20
A330#15,0.00500035285949707,1,1,[],1
A320#105,0.7150552272796631,6,6720,[],131
A319#5,0.2070159912109375,5,1764,[],109
A319#101,0.39102935791015625,6,3780,[],26
A318#34,0.06800460815429688,6,384,[],12
A318#247,0.012002706527709961,3,54,[],26
A318#125,0.18701601028442383,6,1728,[],14
A318#33,1.834132194519043,7,15120,[],28
A319#163,2.037147045135498,8,17280,[],169
A320#129,0.28601813316345215,7,2160,[],67
A320#153,2.0851523876190186,8,15552,[],82
A320#48,0.8030605316162109,8,6912,[],25
A320#50,0.05800366401672363,7,288,[],11
A320#53,0.1810164451599121,8,1440,[],31
A320#56,0.05300712585449219,8,432,[],13
A320#59,0.12600970268249512,7,768,[],17
A320#6,0.15301132202148438,7,1152,[],15
A321#106,0.6520469188690186,7,5184,[],4
CRJ100#225,1.1170806884765625,7,8448,[],84
ERJ135#159,0.5320379734039307,6,3600,[],95
ERJ135#18,1.5531129837036133,7,13440,[],127
ERJ135#93,0.7930564880371094,7,7200,[],29
A319#126,1.664121150970459,8,12960,[],98
A319#127,1.1650831699371338,8,9216,[],38
A319#38,0.7150506973266602,8,6480,[],33
A319#45,0.1480107307434082,7,1440,[],1
A320#120,0.3050191402435303,8,2592,[],3
A320#138,0.6860489845275879,8,5184,[],59
A320#139,3.221235990524292,8,25920,[],132
A320#168,2.521181344985962,6,20736,[],344
A321#197,2.4401767253875732,8,18000,[],99
CRJ100#226,2.78420090675354,8,23040,[],14
ERJ135#178,0.9690659046173096,8,7680,[],45
ERJ135#29,2.165158271789551,7,19008,[],37
F100#87,2.113152027130127,8,16800,[],238
A320#152,5.008362770080566,7,40320,[],477
A320#49,5.969429969787598,8,46656,[],275
A321#114,5.953429937362671,8,45360,[],249
CRJ100#214,10.488749980926514,10,77760,[],162
A321#147,17.4751398563385,8,141120,[],242
A318#17,21.330540418624878,9,165888,[],529
A320#141,26.39690661430359,10,189000,[],256
A320#235,23.913321256637573,8,181440,[],632
A319#187,16.00322389602661,10,115200,[],81
A320#128,19.634814977645874,9,136080,[],830
A319#149,20.24432945251465,9,145152,[],231
A321#200,26.143969297409058,9,189000,[],78
A318#24,30.335108280181885,9,207360,[],132
A319#188,14.853074550628662,10,103680,[],136
A319#20,14.299798965454102,10,97200,[],104
A320#222,19.28709602355957,11,124416,[],1
A318#183,4.908116579055786,9,35840,[],119
