aircraft,family,flight,origin,depInt,altDepInt,destination,arrInt,altArrInt,previous,tt,altFlight,altAirc,newFlight,cancelFlight
B737300#140,B737300,220701/03/08,MAD,410,410,ORY,530,530,0,30,0,0,0,0
B737300#140,B737300,220801/03/08,ORY,590,590,MAD,705,705,0,30,0,0,0,0
B737300#140,B737300,98101/03/08,MAD,750,750,CDG,875,875,0,30,0,0,0,0
B737300#140,B737300,460601/03/08,CDG,1015,1015,LCY,1080,1080,0,30,0,0,0,0
B737300#140,B737300,460701/03/08,LCY,1110,1110,ORY,1185,1185,0,30,0,0,0,0
B737300#140,B737300,459802/03/08,ORY,1830,1830,LCY,1890,1890,0,30,0,0,0,0
B737300#140,B737300,459902/03/08,LCY,1920,1920,ORY,2000,2000,0,30,0,0,0,0
B737300#140,B737300,460202/03/08,ORY,2090,2090,LCY,2150,2150,0,30,0,0,0,0
B737300#140,B737300,460302/03/08,LCY,2180,2180,ORY,2255,2255,0,30,0,0,0,0
B737300#140,B737300,220402/03/08,ORY,2310,2310,MAD,2425,2425,0,30,0,0,0,0
B737300#140,B737300,220102/03/08,MAD,2615,2615,ORY,2730,2730,0,30,0,0,0,0
A320#167,A320,578101/03/08,NCE,365,365,ORY,450,450,0,40,0,0,0,0
A320#167,A320,701201/03/08,ORY,490,490,CFE,545,545,0,40,0,0,0,0
A320#167,A320,701501/03/08,CFE,590,590,ORY,645,645,0,40,0,0,0,0
A320#167,A320,691401/03/08,ORY,730,730,MLH,790,790,0,40,0,0,0,0
A320#167,A320,691901/03/08,MLH,835,835,ORY,905,905,0,40,0,0,0,0
A320#167,A320,580201/03/08,ORY,960,960,NCE,1040,1040,0,40,0,0,0,0
A320#167,A320,580901/03/08,NCE,1085,1085,ORY,1170,1170,0,40,0,0,0,0
A320#167,A320,713801/03/08,ORY,1210,1210,MPL,1290,1290,0,40,0,0,0,0
A320#167,A320,713902/03/08,MPL,1815,1815,ORY,1900,1900,0,40,0,0,0,0
A320#167,A320,698602/03/08,ORY,2010,2010,LYS,2075,2075,0,40,0,0,0,0
A320#167,A320,698702/03/08,LYS,2120,2120,ORY,2185,2185,0,40,0,0,0,0
A320#167,A320,560602/03/08,ORY,2255,2255,MRS,2330,2330,0,40,0,0,0,0
A320#167,A320,561702/03/08,MRS,2370,2370,ORY,2450,2450,0,40,0,0,0,0
A320#167,A320,572002/03/08,ORY,2510,2510,TLS,2580,2580,0,40,0,0,0,0
A320#167,A320,572902/03/08,TLS,2620,2620,ORY,2700,2700,0,40,0,0,0,0
A320#146,A320,726101/03/08,MPL,355,355,CDG,445,445,0,40,0,0,0,0
A320#146,A320,286201/03/08,CDG,485,485,MLH,555,555,0,40,0,0,0,0
A320#146,A320,286301/03/08,MLH,595,595,CDG,670,670,0,40,0,0,0,0
A320#146,A320,720401/03/08,CDG,745,745,BOD,825,825,0,40,0,0,0,0
A320#146,A320,720901/03/08,BOD,925,935,CDG,1010,1020,0,40,10,0,0,0
