aircraft,family,flight,origin,depInt,altDepInt,destination,arrInt,altArrInt,previous,tt,altFlight,altAirc,newFlight,_flight,cancelFlight
B747#503,B747,335501/03/08,RAK,750,750,ORY,935,935,0,60,0,0,0,-1,0
B747#503,B747,65202/03/08,ORY,2190,2190,FDF,2710,2710,0,60,0,0,0,-1,0
B747#503,B747,65703/03/08,FDF,3640,3640,ORY,4125,4125,0,60,0,0,0,-1,0
B747#476,B747,65601/03/08,ORY,930,930,FDF,1450,1450,0,60,0,0,0,-1,0
B747#476,B747,65302/03/08,FDF,2555,2555,ORY,3040,3040,0,60,0,0,0,-1,0
B747#476,B747,335603/03/08,ORY,3495,3495,RAK,3680,3680,0,60,0,0,0,-1,0
B747#476,B747,335703/03/08,RAK,3740,3740,ORY,3925,3925,0,60,0,0,0,-1,0
B747#475,B747,354001/03/08,ORY,905,905,ALG,1035,1035,0,60,0,0,0,-1,0
B747#475,B747,354101/03/08,ALG,1155,1155,ORY,1285,1285,0,60,0,0,0,-1,0
B747#475,B747,62002/03/08,ORY,2100,2100,PTP,2610,2610,0,60,0,0,0,-1,0
B747#475,B747,62103/03/08,PTP,3965,3965,ORY,4440,4440,0,60,0,0,0,-1,0
B747#281,B747,65701/03/08,FDF,760,760,ORY,1245,1245,0,60,0,0,0,-1,0
B747#281,B747,335602/03/08,ORY,2055,2055,RAK,2240,2240,0,60,0,0,0,-1,0
B747#281,B747,335702/03/08,RAK,2300,2300,ORY,2485,2485,0,60,0,0,0,-1,0
B747#281,B747,335403/03/08,ORY,3385,3385,RAK,3570,3570,0,60,0,0,0,-1,0
B747#281,B747,335503/03/08,RAK,3630,3630,ORY,3815,3815,0,60,0,0,0,-1,0
B737300#468,B737300,501801/03/08,ORY,390,390,LCY,450,450,0,30,0,0,0,-1,0
B737300#468,B737300,501901/03/08,LCY,480,480,ORY,560,560,0,30,0,0,0,-1,0
B737300#468,B737300,502201/03/08,ORY,650,650,LCY,710,710,0,30,0,0,0,-1,0
B737300#468,B737300,502301/03/08,LCY,740,740,ORY,815,815,0,30,0,0,0,-1,0
B737300#468,B737300,502401/03/08,ORY,870,870,LCY,930,930,0,30,0,0,0,-1,0
B737300#468,B737300,502501/03/08,LCY,960,960,ORY,1035,1035,0,30,0,0,0,-1,0
B737300#468,B737300,502801/03/08,ORY,1075,1075,LCY,1140,1140,0,30,0,0,0,-1,0
B737300#468,B737300,502901/03/08,LCY,1170,1170,ORY,1245,1245,0,30,0,0,0,-1,0
B737300#468,B737300,501802/03/08,ORY,1830,1830,LCY,1890,1890,0,30,0,0,0,-1,0
B737300#468,B737300,501902/03/08,LCY,1920,1920,ORY,2000,2000,0,30,0,0,0,-1,0
B737300#468,B737300,262802/03/08,ORY,2030,2030,MAD,2145,2145,0,30,0,0,0,-1,0
B737300#468,B737300,140102/03/08,MAD,2190,2190,CDG,2315,2315,0,30,0,0,0,-1,0
B737300#468,B737300,501402/03/08,CDG,2355,2355,DUB,2475,2475,0,30,0,0,0,-1,0
B737300#468,B737300,512202/03/08,DUB,2520,2520,LCY,2595,2595,0,30,0,0,0,-1,0
B737300#468,B737300,512102/03/08,LCY,2625,2625,DUB,2700,2700,0,30,0,0,0,-1,0
B737300#468,B737300,512403/03/08,DUB,3340,3340,LCY,3420,3420,0,30,0,0,0,-1,0
B737300#468,B737300,512303/03/08,LCY,3450,3450,DUB,3530,3530,0,30,0,0,0,-1,0
